SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
75_Recombination events.csv|4907,4907,75_Recombination events.csv,4170,8160,"['24', '25', '31', '39', '40', '47']",1000,2.5e-05,0.01,0.1,5000,50,1,4178,7962,4178-7962,"['25', '39', '40', '47', '24', '31']","['35', '5', '10', '46', '27', '4', '28', '43', '29', '22', '50', '41', '42', '8', '26', '7', '12']","['3', '2']",8.0,198.0,206.0,94.8,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (6/6),53.96,100.0,6/6,100.0,6.0,6.0,6/6,74.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4907,4170-8160,33.33333333333333,79.4,1,100.0,1,1,1,1,1,10,0,9,100.0%,10.0%,✅ Equal,11,2,9
9_Recombination events.csv|5087,5087,9_Recombination events.csv,6228,7782,"['11', '2']",1000,2.5e-05,0.01,0.1,5000,50,2,6232,7782,6232-7782,"['11', '2']","['47', '19']","['5', '46', '15']",4.0,0.0,4.0,99.74259974259975,1554.0,388.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.94851994851995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5087,6228-7782,100.0,99.6,2,100.0,1,12,4,4,4,19,0,15,100.0%,21.1%,✅ Equal,23,8,15
80_Recombination events.csv|4808,4808,80_Recombination events.csv,4083,9930,"['20', '34', '49', '7']",1000,2.5e-05,0.01,0.1,5000,50,2,4080,9962,4080-9962,"['20', '7', '49', '34']","['3', '30', '23', '43', '9', '29', '14', '33', '50', '26', '37', '12']","['25', '36', '13', '32', '15', '4', '19', '1', '11', '16', '24', '31', '35', '5', '22', '38', '40', '42', '2', '17', '10', '28']",3.0,32.0,35.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (4/4),57.0,100.0,4/4,100.0,4.0,4.0,4/4,95.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,4808,4083-9930,50.0,96.5,2,100.0,1,13,3,3,3,12,0,9,100.0%,25.0%,✅ Equal,15,6,9
74_Recombination events.csv|4944,4944,74_Recombination events.csv,5481,7467,['25'],1000,2.5e-05,0.01,0.1,5000,50,1,5477,7462,5477-7462,['25'],['20'],['48'],4.0,5.0,9.0,99.74823766364553,1986.0,496.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.9496475327291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,4944,5481-7467,100.0,99.1,1,100.0,1,14,3,3,5,26,2,23,60.0%,11.5%,✅ Equal,31,6,25
20_Recombination events.csv|4975,4975,20_Recombination events.csv,4401,10000,['46'],1000,2.5e-05,0.01,0.1,5000,50,1,4386,9966,4386-9966,['46'],"['6', '29']","['40', '37', '19', '31']",15.0,34.0,49.0,99.4,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.88,100.0,1/1,100.0,1.0,1.0,1/1,94.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4975,4401-10000,100.0,95.1,1,100.0,1,15,5,5,5,14,0,9,100.0%,35.7%,✅ Equal,19,10,9
73_Recombination events.csv|5050,5050,73_Recombination events.csv,2244,10000,['19'],1000,2.5e-05,0.01,0.1,5000,50,1,2246,9986,2246-9986,['19'],"['47', '48']",['41'],2.0,14.0,16.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),56.96,100.0,1/1,100.0,1.0,1.0,1/1,96.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,5050,2244-10000,100.0,98.4,1,100.0,1,16,3,3,5,10,2,7,60.0%,30.0%,✅ Equal,15,6,9
72_Recombination events.csv|4866,4866,72_Recombination events.csv,5946,10000,"['12', '13', '20', '22', '35', '4']",1000,2.5e-05,0.01,0.1,5000,50,2,5950,9980,5950-9980,"['35', '20', '4', '13', '12']","['36', '27', '32', '9', '14', '21', '49', '47', '15', '30', '19', '11', '18', '50', '31', '5', '3', '39', '38', '40', '42', '7', '17', '10', '28', '43', '45']",['25'],4.0,20.0,24.0,99.4,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (5/5),56.88,83.3,5/5,100.0,6.0,5.0,5/5,97.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,4866,5946-10000,40.0,97.6,2,100.0,1,17,2,2,3,15,1,13,66.7%,13.3%,✅ Equal,18,4,14
27_Recombination events.csv|5017,5017,27_Recombination events.csv,2847,6987,['42'],1000,2.5e-05,0.01,0.1,5000,50,3,2849,6982,2849-6982,['42'],['28'],"['24', '2']",2.0,5.0,7.0,99.83091787439614,4140.0,1035.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.966183574879224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5017,2847-6987,100.0,99.3,3,100.0,1,18,3,3,4,21,1,18,75.0%,14.3%,✅ Equal,25,6,19
42_Recombination events.csv|4809,4809,42_Recombination events.csv,6414,10000,['40'],1000,2.5e-05,0.01,0.1,5000,50,2,6418,9992,6418-9992,['40'],"['8', '5']","['28', '39', '11', '50', '49', '37']",4.0,8.0,12.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.94,100.0,1/1,100.0,1.0,1.0,1/1,98.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,4809,6414-10000,100.0,98.8,2,100.0,1,19,4,4,5,20,1,16,80.0%,20.0%,✅ Equal,25,8,17
28_Recombination events.csv|5138,5138,28_Recombination events.csv,6330,9954,['24'],1000,2.5e-05,0.01,0.1,5000,50,1,6323,9840,6323-9840,['24'],"['28', '45', '39', '2']","['14', '36', '27']",7.0,114.0,121.0,96.9,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),54.38,100.0,1/1,100.0,1.0,1.0,1/1,83.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,5138,6330-9954,100.0,87.9,1,100.0,1,20,1,1,1,9,0,8,100.0%,11.1%,✅ Equal,10,2,8
32_Recombination events.csv|4936,4936,32_Recombination events.csv,8859,10000,['48'],1000,2.5e-05,0.01,0.1,5000,50,1,8846,9990,8846-9990,['48'],['43'],['25'],13.0,10.0,23.0,99.12357581069237,1141.0,285.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.824715162138475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4936,8859-10000,100.0,97.7,1,100.0,1,21,1,1,1,16,0,15,100.0%,6.2%,✅ Equal,17,2,15
37_Recombination events.csv|4372,4372,37_Recombination events.csv,5550,6495,"['11', '15', '17', '27', '34', '44', '48', '50']",1000,2.5e-05,0.01,0.1,5000,50,1,5541,6391,5541-6391,"['17', '27', '44', '48', '11', '50', '34', '15']","['20', '43', '32', '39', '22', '18', '8', '26', '12']","['47', '23', '2']",9.0,104.0,113.0,89.0,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (8/8),52.8,100.0,8/8,100.0,8.0,8.0,8/8,40.2,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,4372,5550-6495,50.0,88.7,1,100.0,1,22,2,2,2,11,0,9,100.0%,18.2%,✅ Equal,13,4,9
38_Recombination events.csv|4657,4657,38_Recombination events.csv,5853,10000,"['21', '32', '37', '44', '5']",1000,2.5e-05,0.01,0.1,5000,50,1,5794,9990,5794-9990,"['5', '32', '21', '37', '44']","['35', '20', '27', '50', '15', '12']","['48', '3', '17', '29']",59.0,10.0,69.0,99.8,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (5/5),56.96,100.0,5/5,100.0,5.0,5.0,5/5,91.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,4657,5853-10000,40.0,93.1,1,100.0,1,23,1,1,1,27,0,26,100.0%,3.7%,✅ Equal,28,2,26
35_Recombination events.csv|4914,4914,35_Recombination events.csv,735,2298,['37'],1000,2.5e-05,0.01,0.1,5000,50,2,736,2298,736-2298,['37'],"['1', '39', '19']","['16', '45', '29', '27']",1.0,0.0,1.0,99.9360204734485,1563.0,390.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.9872040946897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4914,735-2298,100.0,99.9,2,100.0,1,24,5,4,5,17,0,13,100.0%,23.5%,❌ Diff: RDP=5 vs Santa=4,22,9,13
34_Recombination events.csv|4526,4526,34_Recombination events.csv,2745,8409,"['20', '31', '34']",1000,2.5e-05,0.01,0.1,5000,50,1,2734,8406,2734-8406,"['20', '34', '31']","['3', '25', '47', '36', '13', '28', '18', '45', '40', '16', '26', '2']","['5', '17', '23', '30', '46', '19', '14', '44', '11', '38', '41', '37', '15']",11.0,3.0,14.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (3/3),56.980000000000004,100.0,3/3,100.0,3.0,3.0,3/3,98.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,4526,2745-8409,33.33333333333333,98.6,1,100.0,1,25,1,1,1,16,0,15,100.0%,6.2%,✅ Equal,17,2,15
39_Recombination events.csv|4980,4980,39_Recombination events.csv,4956,7206,['17'],1000,2.5e-05,0.01,0.1,5000,50,3,4954,7206,4954-7206,['17'],['45'],"['5', '48', '50', '47', '44']",2.0,0.0,2.0,100.0,2250.0,562.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,4980,4956-7206,100.0,99.8,3,100.0,1,26,6,5,6,14,0,9,100.0%,35.7%,❌ Diff: RDP=6 vs Santa=5,20,11,9
33_Recombination events.csv|4874,4874,33_Recombination events.csv,8157,10000,['30'],1000,2.5e-05,0.01,0.1,5000,50,1,8154,9976,8154-9976,['30'],['1'],['34'],3.0,24.0,27.0,98.7,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.74,100.0,1/1,100.0,1.0,1.0,1/1,92.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4874,8157-10000,100.0,97.3,1,100.0,1,27,4,4,4,18,0,14,100.0%,22.2%,✅ Equal,22,8,14
4_Recombination events.csv|4887,4887,4_Recombination events.csv,291,2322,['7'],1000,2.5e-05,0.01,0.1,5000,50,2,288,2319,288-2319,['7'],"['11', '15']","['33', '9', '36', '40']",3.0,3.0,6.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,98.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4887,291-2322,100.0,99.4,2,100.0,1,28,4,4,4,7,0,3,100.0%,57.1%,✅ Equal,11,8,3
78_Recombination events.csv|4936,4936,78_Recombination events.csv,2805,10000,['22'],1000,2.5e-05,0.01,0.1,5000,50,1,2784,9974,2784-9974,['22'],"['27', '31']",['11'],21.0,26.0,47.0,99.63863794301598,2805.0,701.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.9277275886032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,4936,2805-10000,100.0,95.3,1,100.0,1,29,1,1,1,19,0,18,100.0%,5.3%,✅ Equal,20,2,18
79_Recombination events.csv|4956,4956,79_Recombination events.csv,4278,8835,['24'],1000,2.5e-05,0.01,0.1,5000,50,1,4280,8834,4280-8834,['24'],['5'],"['18', '39', '42']",2.0,1.0,3.0,99.9341672152732,4557.0,1139.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98683344305464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,4956,4278-8835,100.0,99.7,1,100.0,1,30,4,4,4,18,0,14,100.0%,22.2%,✅ Equal,22,8,14
30_Recombination events.csv|4842,4842,30_Recombination events.csv,354,1851,['33'],1000,2.5e-05,0.01,0.1,5000,50,1,356,1651,356-1651,['33'],"['5', '44']",['21'],2.0,200.0,202.0,86.5063460253841,1497.0,374.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,52.30126920507682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4842,354-1851,100.0,79.8,1,100.0,1,31,2,2,2,19,0,17,100.0%,10.5%,✅ Equal,21,4,17
82_Recombination events.csv|5016,5016,82_Recombination events.csv,708,6849,['34'],1000,2.5e-05,0.01,0.1,5000,50,1,704,6848,704-6848,['34'],['41'],['25'],4.0,1.0,5.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,5016,708-6849,100.0,99.5,1,100.0,1,32,2,2,2,10,0,8,100.0%,20.0%,✅ Equal,12,4,8
84_Recombination events.csv|4845,4845,84_Recombination events.csv,1320,10000,['28'],1000,2.5e-05,0.01,0.1,5000,50,1,1316,9984,1316-9984,['28'],"['10', '4', '16', '41', '8', '37']","['3', '36', '29', '42', '47', '31', '26', '15']",4.0,16.0,20.0,99.81566820276497,1320.0,330.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.963133640552996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,4845,1320-10000,100.0,98.0,1,100.0,1,33,2,2,2,11,0,9,100.0%,18.2%,✅ Equal,13,4,9
85_Recombination events.csv|4970,4970,85_Recombination events.csv,5262,6786,['24'],1000,2.5e-05,0.01,0.1,5000,50,1,5262,6786,5262-6786,['24'],"['1', '31', '7', '15']","['4', '40']",0.0,0.0,0.0,100.0,1524.0,381.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,4970,5262-6786,100.0,100.0,1,100.0,1,34,6,6,7,23,1,17,85.7%,26.1%,✅ Equal,30,12,18
41_Recombination events.csv|4777,4777,41_Recombination events.csv,8721,10000,['46'],1000,2.5e-05,0.01,0.1,5000,50,1,8686,9992,8686-9992,['46'],"['25', '20', '23', '10', '27', '4', '13', '39', '22', '38', '15', '26', '37', '12']","['5', '28', '29', '14', '33', '48', '49', '8', '24', '34', '44']",35.0,8.0,43.0,99.4,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.88,100.0,1/1,100.0,1.0,1.0,1/1,83.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,4777,8721-10000,100.0,95.7,1,100.0,1,35,3,3,3,16,0,13,100.0%,18.8%,✅ Equal,19,6,13
71_Recombination events.csv|5172,5172,71_Recombination events.csv,2262,3414,"['39', '49']",1000,2.5e-05,0.01,0.1,5000,50,3,2262,3414,2262-3414,"['39', '49']",['47'],"['3', '17', '10', '20', '46', '28', '19', '48', '45', '33']",0.0,0.0,0.0,100.0,1152.0,288.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,5172,2262-3414,100.0,100.0,3,100.0,1,36,5,5,6,18,1,13,83.3%,27.8%,✅ Equal,24,10,14
36_Recombination events.csv|4867,4867,36_Recombination events.csv,3651,7026,['17'],1000,2.5e-05,0.01,0.1,5000,50,1,3654,7020,3654-7020,['17'],"['30', '10', '36', '22', '11', '21', '40', '8', '41']","['48', '27']",3.0,6.0,9.0,99.73333333333333,3375.0,843.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.94666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,4867,3651-7026,100.0,99.1,1,100.0,1,37,3,3,3,25,0,22,100.0%,12.0%,✅ Equal,28,6,22
100_Recombination events.csv|4961,4961,100_Recombination events.csv,7977,10000,['9'],1000,2.5e-05,0.01,0.1,5000,50,1,8016,9976,8016-9976,['9'],"['5', '17', '10', '20', '39', '1', '48', '18', '38', '24', '7', '12']","['30', '6', '22', '50', '37', '2']",39.0,24.0,63.0,96.9,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.38,100.0,1/1,100.0,1.0,1.0,1/1,84.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4961,7977-10000,100.0,93.7,1,100.0,1,38,2,2,2,12,0,10,100.0%,16.7%,✅ Equal,14,4,10
92_Recombination events.csv|4888,4888,92_Recombination events.csv,1134,7494,['50'],1000,2.5e-05,0.01,0.1,5000,50,1,1086,7420,1086-7420,['50'],"['32', '29']","['47', '48', '23']",48.0,74.0,122.0,98.83647798742138,3640.0,910.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.76729559748428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,4888,1134-7494,100.0,87.8,1,100.0,1,39,2,2,2,14,0,12,100.0%,14.3%,✅ Equal,16,4,12
