SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
1_Recombination events.csv|9903,9903,1_Recombination events.csv,4968,5703,['46'],1000,0.0002,0.02,0.1,5000,50,2,4968,5700,4968-5700,['46'],['39'],"['21', '11']",0.0,3.0,3.0,99.6,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.92,100.0,1/1,100.0,1.0,1.0,1/1,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9903,4968-5703,100.0,99.7,2,100.0,1,1,7,7,10,39,3,32,70.0%,17.9%,✅ Equal,49,14,35
94_Recombination events.csv|9975,9975,94_Recombination events.csv,531,10000,['47'],1000,0.0002,0.02,0.1,5000,50,5,532,9996,532-9996,['47'],"['7', '22', '9', '33']","['38', '8', '23', '16', '11', '2', '3', '27', '29', '14', '42', '5', '21', '30', '10', '50', '20', '15', '12', '40', '19', '44']",1.0,4.0,5.0,99.94719611363396,531.0,132.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.989439222726794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,9975,531-10000,100.0,99.5,5,100.0,1,12,6,6,8,30,2,24,75.0%,20.0%,✅ Equal,38,12,26
87_Recombination events.csv|10089,10089,87_Recombination events.csv,951,2079,"['37', '38']",1000,0.0002,0.02,0.1,5000,50,2,951,2079,951-2079,"['37', '38']",['34'],"['29', '27']",0.0,0.0,0.0,100.0,1128.0,282.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,10089,951-2079,100.0,100.0,2,100.0,1,13,8,8,10,44,2,36,80.0%,18.2%,✅ Equal,54,16,38
48_Recombination events.csv|9936,9936,48_Recombination events.csv,3075,3828,['45'],1000,0.0002,0.02,0.1,5000,50,3,3076,3828,3076-3828,['45'],['15'],['42'],1.0,0.0,1.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,9936,3075-3828,100.0,99.9,3,100.0,1,14,8,8,20,45,12,37,40.0%,17.8%,✅ Equal,65,16,49
76_Recombination events.csv|9921,9921,76_Recombination events.csv,4947,10000,['33'],1000,0.0002,0.02,0.1,5000,50,1,4946,9997,4946-9997,['33'],['29'],"['32', '6']",1.0,3.0,4.0,99.94062932911142,4947.0,1236.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98812586582228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,9921,4947-10000,100.0,99.6,1,100.0,1,15,4,4,6,35,2,31,66.7%,11.4%,✅ Equal,41,8,33
17_Recombination events.csv|9922,9922,17_Recombination events.csv,3393,3765,['17'],1000,0.0002,0.02,0.1,5000,50,7,3394,3765,3394-3765,['17'],"['6', '14', '48', '12', '39', '45', '33', '27', '3', '32', '11']","['7', '34', '31', '30']",1.0,0.0,1.0,99.73118279569893,372.0,93.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.94623655913979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9922,3393-3765,100.0,99.9,7,100.0,1,16,8,7,12,44,4,37,66.7%,15.9%,❌ Diff: RDP=8 vs Santa=7,56,15,41
99_Recombination events.csv|10044,10044,99_Recombination events.csv,516,771,['28'],1000,0.0002,0.02,0.1,5000,50,7,516,771,516-771,['28'],['10'],['8'],0.0,0.0,0.0,100.0,255.0,63.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,10044,516-771,100.0,100.0,7,100.0,1,17,8,8,13,38,5,30,61.5%,21.1%,✅ Equal,51,16,35
88_Recombination events.csv|9825,9825,88_Recombination events.csv,1461,2742,['9'],1000,0.0002,0.02,0.1,5000,50,4,1460,2744,1460-2744,['9'],"['2', '27', '5', '46']","['6', '20', '34', '17', '35']",1.0,2.0,3.0,100.0,1281.0,320.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,9825,1461-2742,100.0,99.7,4,100.0,1,18,11,11,13,53,2,42,84.6%,20.8%,✅ Equal,66,22,44
62_Recombination events.csv|9404,9404,62_Recombination events.csv,5739,10000,['22'],1000,0.0002,0.02,0.1,5000,50,5,5740,10000,5740-10000,['22'],"['7', '6', '26', '21', '45', '43', '1', '17']","['39', '48', '12', '36', '28', '3', '31', '35']",1.0,0.0,1.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,9404,5739-10000,100.0,99.9,5,100.0,1,19,9,9,13,43,4,34,69.2%,20.9%,✅ Equal,56,18,38
61_Recombination events.csv|9977,9977,61_Recombination events.csv,8502,10000,['36'],1000,0.0002,0.02,0.1,5000,50,2,8504,10000,8504-10000,['36'],"['17', '21', '25', '35']","['39', '13']",2.0,0.0,2.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,9977,8502-10000,100.0,99.8,2,100.0,2,20,6,6,6,46,0,40,100.0%,13.0%,✅ Equal,52,12,40
44_Recombination events.csv|9972,9972,44_Recombination events.csv,582,1113,['16'],1000,0.0002,0.02,0.1,5000,50,3,582,1114,582-1114,['16'],['49'],['37'],0.0,1.0,1.0,100.0,531.0,132.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,9972,582-1113,100.0,99.9,3,100.0,1,21,9,9,12,35,3,26,75.0%,25.7%,✅ Equal,47,18,29
61_Recombination events.csv|10009,10009,61_Recombination events.csv,633,4365,['10'],1000,0.0002,0.02,0.1,5000,50,1,634,4366,634-4366,['10'],"['42', '38', '43', '12']",['9'],1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,10009,633-4365,100.0,99.8,1,100.0,1,22,6,6,6,46,0,40,100.0%,13.0%,✅ Equal,52,12,40
45_Recombination events.csv|10085,10085,45_Recombination events.csv,744,5160,['18'],1000,0.0002,0.02,0.1,5000,50,1,745,5160,745-5160,['18'],['13'],['31'],1.0,0.0,1.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,10085,744-5160,100.0,99.9,1,100.0,1,23,2,2,4,35,2,33,50.0%,5.7%,✅ Equal,39,4,35
15_Recombination events.csv|9720,9720,15_Recombination events.csv,1938,10000,['18'],1000,0.0002,0.02,0.1,5000,50,3,1939,9998,1939-9998,['18'],"['26', '28', '25']","['13', '27', '8']",1.0,2.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9720,1938-10000,100.0,99.7,3,100.0,1,24,11,11,14,54,3,43,78.6%,20.4%,✅ Equal,68,22,46
85_Recombination events.csv|10103,10103,85_Recombination events.csv,5643,9708,['39'],1000,0.0002,0.02,0.1,5000,50,4,5642,9724,5642-9724,['39'],['16'],"['7', '29', '25', '2', '30']",1.0,16.0,17.0,100.0,4065.0,1016.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,10103,5643-9708,100.0,98.3,4,100.0,1,25,7,7,9,65,2,58,77.8%,10.8%,✅ Equal,74,14,60
98_Recombination events.csv|9756,9756,98_Recombination events.csv,6711,7524,['49'],1000,0.0002,0.02,0.1,5000,50,3,6713,7524,6713-7524,['49'],['19'],"['39', '50', '5', '15', '2', '45', '34', '42', '31', '24']",2.0,0.0,2.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,98.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,9756,6711-7524,100.0,99.8,3,100.0,1,26,5,5,10,49,5,44,50.0%,10.2%,✅ Equal,59,10,49
7_Recombination events.csv|9989,9989,7_Recombination events.csv,408,6165,"['39', '8']",1000,0.0002,0.02,0.1,5000,50,1,408,6166,408-6166,"['39', '8']",['30'],['45'],0.0,1.0,1.0,100.0,4243.0,1060.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9989,408-6165,100.0,99.9,1,100.0,1,27,8,7,8,34,0,27,100.0%,20.6%,❌ Diff: RDP=8 vs Santa=7,42,15,27
37_Recombination events.csv|9909,9909,37_Recombination events.csv,2595,7740,['19'],1000,0.0002,0.02,0.1,5000,50,2,2596,7740,2596-7740,['19'],"['46', '37', '21']","['14', '41', '45', '23', '22', '44', '34', '13', '18', '28', '15', '43', '38', '33', '49', '26', '20', '29']",1.0,0.0,1.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,9909,2595-7740,100.0,99.9,2,100.0,1,28,9,9,13,42,4,33,69.2%,21.4%,✅ Equal,55,18,37
29_Recombination events.csv|9976,9976,29_Recombination events.csv,24,7734,['4'],1000,0.0002,0.02,0.1,5000,50,1,25,7735,25-7735,['4'],"['30', '19', '44']","['50', '15']",1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,9976,24-7734,100.0,99.8,1,100.0,2,29,6,6,6,34,0,28,100.0%,17.6%,✅ Equal,40,12,28
29_Recombination events.csv|10016,10016,29_Recombination events.csv,5868,8724,['42'],1000,0.0002,0.02,0.1,5000,50,5,5868,8722,5868-8722,['42'],['20'],"['30', '19', '44']",0.0,2.0,2.0,99.92997198879551,2856.0,714.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.9859943977591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,10016,5868-8724,100.0,99.8,5,100.0,3,30,6,6,6,34,0,28,100.0%,17.6%,✅ Equal,40,12,28
79_Recombination events.csv|9776,9776,79_Recombination events.csv,7962,10000,['23'],1000,0.0002,0.02,0.1,5000,50,2,7962,9998,7962-9998,['23'],"['13', '38']",['33'],0.0,2.0,2.0,99.90186457311088,2038.0,509.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98037291462218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,9776,7962-10000,100.0,99.8,2,100.0,1,31,6,6,11,53,5,47,54.5%,11.3%,✅ Equal,64,12,52
27_Recombination events.csv|10013,10013,27_Recombination events.csv,108,831,['44'],1000,0.0002,0.02,0.1,5000,50,5,108,832,108-832,['44'],"['32', '14', '5', '23']","['11', '42']",0.0,1.0,1.0,100.0,723.0,180.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10013,108-831,100.0,99.9,5,100.0,1,32,12,12,18,67,6,55,66.7%,17.9%,✅ Equal,85,24,61
3_Recombination events.csv|9883,9883,3_Recombination events.csv,2766,10000,"['28', '48']",1000,0.0002,0.02,0.1,5000,50,7,2766,9994,2766-9994,"['28', '48']","['41', '46']","['18', '24', '29']",0.0,6.0,6.0,99.91705833563726,2766.0,691.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.983411667127456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9883,2766-10000,100.0,99.4,7,100.0,1,33,12,12,17,31,5,19,70.6%,38.7%,✅ Equal,48,24,24
75_Recombination events.csv|10067,10067,75_Recombination events.csv,9147,10000,['27'],1000,0.0002,0.02,0.1,5000,50,2,9147,10000,9147-10000,['27'],['38'],"['3', '17']",0.0,0.0,0.0,100.0,853.0,213.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,10067,9147-10000,100.0,100.0,2,100.0,1,34,5,5,5,31,0,26,100.0%,16.1%,✅ Equal,36,10,26
26_Recombination events.csv|10028,10028,26_Recombination events.csv,8508,10000,['48'],1000,0.0002,0.02,0.1,5000,50,2,8509,9998,8509-9998,['48'],['27'],"['34', '31']",1.0,2.0,3.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,10028,8508-10000,100.0,99.7,2,100.0,1,35,4,4,7,50,3,46,57.1%,8.0%,✅ Equal,57,8,49
25_Recombination events.csv|9995,9995,25_Recombination events.csv,4572,5457,['14'],1000,0.0002,0.02,0.1,5000,50,3,4571,5456,4571-5456,['14'],['40'],"['2', '48', '22', '24', '34', '28', '41', '3', '25']",1.0,1.0,2.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,98.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,9995,4572-5457,100.0,99.8,3,100.0,1,36,4,4,6,47,2,43,66.7%,8.5%,✅ Equal,53,8,45
74_Recombination events.csv|10054,10054,74_Recombination events.csv,762,6582,['24'],1000,0.0002,0.02,0.1,5000,50,4,762,6579,762-6579,['24'],['16'],"['48', '38', '43']",0.0,3.0,3.0,99.94845360824742,4180.0,1045.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98969072164948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10054,762-6582,100.0,99.7,4,100.0,1,37,9,9,12,62,3,53,75.0%,14.5%,✅ Equal,74,18,56
30_Recombination events.csv|9848,9848,30_Recombination events.csv,6477,10000,"['17', '35']",1000,0.0002,0.02,0.1,5000,50,1,6478,9998,6478-9998,"['17', '35']","['30', '41']","['23', '47']",1.0,2.0,3.0,99.91484530229918,3523.0,880.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98296906045984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,9848,6477-10000,100.0,99.7,1,100.0,1,38,8,8,10,34,2,26,80.0%,23.5%,✅ Equal,44,16,28
31_Recombination events.csv|9881,9881,31_Recombination events.csv,4902,10000,['22'],1000,0.0002,0.02,0.1,5000,50,1,4905,9994,4905-9994,['22'],['1'],"['33', '11', '24']",3.0,6.0,9.0,99.82346018046293,4902.0,1225.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.964692036092586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,9881,4902-10000,100.0,99.1,1,100.0,1,39,7,5,9,63,2,58,77.8%,7.9%,❌ Diff: RDP=7 vs Santa=5,72,12,60
24_Recombination events.csv|9915,9915,24_Recombination events.csv,1821,3027,['31'],1000,0.0002,0.02,0.1,5000,50,4,1821,3024,1821-3024,['31'],['25'],"['21', '43', '15', '44', '1', '33', '34', '10', '20', '23']",0.0,3.0,3.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,98.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,9915,1821-3027,100.0,99.7,4,100.0,1,40,6,6,13,53,7,47,46.2%,11.3%,✅ Equal,66,12,54
81_Recombination events.csv|9866,9866,81_Recombination events.csv,663,5631,['25'],1000,0.0002,0.02,0.1,5000,50,1,663,5631,663-5631,['25'],"['30', '19']","['40', '21', '18']",0.0,0.0,0.0,100.0,4968.0,1242.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,9866,663-5631,100.0,100.0,1,100.0,1,41,7,7,9,46,2,39,77.8%,15.2%,✅ Equal,55,14,41
73_Recombination events.csv|9996,9996,73_Recombination events.csv,9465,10000,['46'],1000,0.0002,0.02,0.1,5000,50,3,9466,9998,9466-9998,['46'],['41'],"['4', '38']",1.0,2.0,3.0,99.4392523364486,535.0,133.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.887850467289724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,9996,9465-10000,100.0,99.7,3,100.0,1,42,9,9,9,56,0,47,100.0%,16.1%,✅ Equal,65,18,47
