SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
45_Recombination events.csv|2520,2520,45_Recombination events.csv,3762,10000,"['10', '12', '36', '37']",1000,2.5e-05,0.005,0.1,5000,50,1,3768,9984,3768-9984,"['37', '10', '36', '12']","['42', '19', '40', '30', '27', '8', '2', '32', '3', '41', '47', '43', '49']",['6'],6.0,16.0,22.0,99.6,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (4/4),56.92,100.0,4/4,100.0,4.0,4.0,4/4,97.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2520,3762-10000,25.0,97.8,1,100.0,1,11,1,1,1,13,0,12,100.0%,7.7%,✅ Equal,14,2,12
44_Recombination events.csv|2559,2559,44_Recombination events.csv,5622,6972,"['16', '26', '39']",1000,2.5e-05,0.005,0.1,5000,50,1,5626,7038,5626-7038,"['16', '39', '26']","['37', '38', '11']","['35', '23', '44', '5', '34']",4.0,66.0,70.0,99.7,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (3/3),56.94,100.0,3/3,100.0,3.0,3.0,3/3,74.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2559,5622-6972,33.33333333333333,93.0,1,100.0,1,12,1,1,1,10,0,9,100.0%,10.0%,✅ Equal,11,2,9
42_Recombination events.csv|2493,2493,42_Recombination events.csv,2355,10000,['26'],1000,2.5e-05,0.005,0.1,5000,50,1,2352,9977,2352-9977,['26'],"['25', '20', '37']","['36', '33']",3.0,23.0,26.0,99.7,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.94,100.0,1/1,100.0,1.0,1.0,1/1,94.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2493,2355-10000,100.0,97.4,1,100.0,1,13,2,2,2,11,0,9,100.0%,18.2%,✅ Equal,13,4,9
39_Recombination events.csv|2453,2453,39_Recombination events.csv,1668,10000,"['30', '35', '4', '44']",1000,2.5e-05,0.005,0.1,5000,50,1,1657,9990,1657-9990,"['30', '4', '35', '44']","['25', '42', '13', '27', '12', '41', '36']",['46'],11.0,10.0,21.0,99.9,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (4/4),56.980000000000004,100.0,4/4,100.0,4.0,4.0,4/4,93.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2453,1668-10000,100.0,97.9,1,100.0,1,14,2,2,3,6,1,4,66.7%,33.3%,✅ Equal,9,4,5
38_Recombination events.csv|2400,2400,38_Recombination events.csv,339,3246,"['18', '29', '37', '39', '40']",1000,2.5e-05,0.005,0.1,5000,50,1,324,3248,324-3248,"['40', '29', '18', '37', '39']","['15', '19']","['30', '13', '4', '35']",15.0,2.0,17.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (5/5),57.0,100.0,5/5,100.0,5.0,5.0,5/5,97.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2400,339-3246,40.0,98.3,1,100.0,1,15,2,2,2,3,0,1,100.0%,66.7%,✅ Equal,5,4,1
36_Recombination events.csv|2452,2452,36_Recombination events.csv,4995,10000,['47'],1000,2.5e-05,0.005,0.1,5000,50,1,4998,9990,4998-9990,['47'],['10'],"['32', '22']",3.0,10.0,13.0,99.74025974025975,4995.0,1248.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.948051948051955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2452,4995-10000,100.0,98.7,1,100.0,1,16,4,4,4,7,0,3,100.0%,57.1%,✅ Equal,11,8,3
33_Recombination events.csv|2466,2466,33_Recombination events.csv,3765,9333,['25'],1000,2.5e-05,0.005,0.1,5000,50,1,3778,9332,3778-9332,['25'],['4'],"['40', '35', '30', '8', '26']",13.0,1.0,14.0,99.74856321839081,4432.0,1108.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.94971264367817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2466,3765-9333,100.0,98.6,1,100.0,1,17,3,3,3,10,0,7,100.0%,30.0%,✅ Equal,13,6,7
60_Recombination events.csv|2518,2518,60_Recombination events.csv,1461,10000,['33'],1000,2.5e-05,0.005,0.1,5000,50,1,1461,9994,1461-9994,['33'],"['50', '19']","['25', '27', '12']",0.0,6.0,6.0,99.92973416090877,1461.0,365.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98594683218175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2518,1461-10000,100.0,99.4,1,100.0,1,18,3,3,4,7,1,4,75.0%,42.9%,✅ Equal,11,6,5
64_Recombination events.csv|2431,2431,64_Recombination events.csv,6090,10000,"['11', '13', '21', '22', '44', '8']",1000,2.5e-05,0.005,0.1,5000,50,1,6083,9946,6083-9946,"['11', '13', '8', '44', '21', '22']","['25', '35', '45', '23', '18', '2', '47', '34', '43', '17', '49', '10']","['30', '27', '26', '14', '38']",7.0,54.0,61.0,98.6,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (6/6),56.72,100.0,6/6,100.0,6.0,6.0,6/6,92.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2431,6090-10000,66.66666666666666,93.9,1,100.0,1,19,1,1,1,9,0,8,100.0%,11.1%,✅ Equal,10,2,8
3_Recombination events.csv|2267,2267,3_Recombination events.csv,5766,8088,"['13', '16', '19', '2', '20', '24', '27', '28', '29', '3', '32', '33', '37', '38', '4', '41', '44', '45', '47', '48', '5', '50', '6']",1000,2.5e-05,0.005,0.1,5000,50,1,5827,8072,5827-8072,"['27', '29', '44', '6', '4', '20', '13', '33', '3', '41', '47', '50', '28', '45', '2', '32', '5', '16', '48', '19', '24', '37', '38']","['35', '18', '34', '49', '9']","['42', '11', '40', '31', '23', '15', '21', '17', '10', '22']",61.0,16.0,77.0,96.7,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (23/23),56.34,100.0,23/23,100.0,23.0,23.0,23/23,83.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2267,5766-8088,82.6086956521739,92.3,1,100.0,1,20,1,1,1,7,0,6,100.0%,14.3%,✅ Equal,8,2,6
66_Recombination events.csv|2427,2427,66_Recombination events.csv,2934,9471,['33'],1000,2.5e-05,0.005,0.1,5000,50,1,2930,9472,2930-9472,['33'],"['19', '46', '23', '8', '32', '3']",['21'],4.0,1.0,5.0,100.0,3463.0,865.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2427,2934-9471,100.0,99.5,1,100.0,1,21,2,2,2,6,0,4,100.0%,33.3%,✅ Equal,8,4,4
97_Recombination events.csv|2483,2483,97_Recombination events.csv,8106,10000,['19'],1000,2.5e-05,0.005,0.1,5000,50,1,8100,9983,8100-9983,['19'],['21'],"['16', '24', '47', '48']",6.0,17.0,23.0,99.10242872228089,1894.0,473.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.82048574445618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,2483,8106-10000,100.0,97.7,1,100.0,1,22,1,1,1,12,0,11,100.0%,8.3%,✅ Equal,13,2,11
96_Recombination events.csv|2454,2454,96_Recombination events.csv,2706,8733,['22'],1000,2.5e-05,0.005,0.1,5000,50,1,2694,8744,2694-8744,['22'],"['13', '18', '27', '2', '47', '5', '38']","['25', '19', '32', '34', '43', '17', '36', '28']",12.0,11.0,23.0,100.0,3973.0,993.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,2454,2706-8733,100.0,97.7,1,100.0,1,23,3,3,3,7,0,4,100.0%,42.9%,✅ Equal,10,6,4
92_Recombination events.csv|2368,2368,92_Recombination events.csv,2850,7413,"['11', '15', '17', '29', '31', '34', '4', '41', '45']",1000,2.5e-05,0.005,0.1,5000,50,1,2814,7408,2814-7408,"['11', '4', '31', '45', '29', '15', '41', '34', '17']","['14', '10', '13', '18']","['25', '46', '30', '20', '7', '33', '44', '3', '47', '43', '1', '9', '38', '36', '28']",36.0,5.0,41.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (9/9),56.980000000000004,100.0,9/9,100.0,9.0,9.0,9/9,95.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,2368,2850-7413,77.77777777777779,95.9,1,100.0,1,24,2,2,2,7,0,5,100.0%,28.6%,✅ Equal,9,4,5
89_Recombination events.csv|2498,2498,89_Recombination events.csv,5958,10000,"['16', '23', '26']",1000,2.5e-05,0.005,0.1,5000,50,1,5956,9990,5956-9990,"['16', '23', '26']","['34', '48', '5']","['29', '39', '7']",2.0,10.0,12.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (3/3),58.96,100.0,3/3,100.0,3.0,3.0,3/3,98.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,2498,5958-10000,100.0,98.8,1,100.0,1,25,7,7,8,12,1,5,87.5%,58.3%,✅ Equal,20,14,6
84_Recombination events.csv|2487,2487,84_Recombination events.csv,2721,10000,['21'],1000,2.5e-05,0.005,0.1,5000,50,1,2722,9996,2722-9996,['21'],"['40', '23', '18', '3', '5', '49']",['42'],1.0,4.0,5.0,99.93130924577552,2721.0,680.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.986261849155106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,2487,2721-10000,100.0,99.5,1,100.0,1,26,1,1,1,9,0,8,100.0%,11.1%,✅ Equal,10,2,8
80_Recombination events.csv|2444,2444,80_Recombination events.csv,3303,9357,['50'],1000,2.5e-05,0.005,0.1,5000,50,1,3318,9372,3318-9372,['50'],"['35', '30', '23', '18', '26', '34', '38', '36']","['2', '33', '21', '14', '16', '48']",15.0,15.0,30.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),56.96,100.0,1/1,100.0,1.0,1.0,1/1,96.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2444,3303-9357,100.0,97.0,1,100.0,1,27,3,3,3,8,0,5,100.0%,37.5%,✅ Equal,11,6,5
8_Recombination events.csv|2383,2383,8_Recombination events.csv,1107,4803,"['1', '39']",1000,2.5e-05,0.005,0.1,5000,50,1,864,4805,864-4805,"['1', '39']","['25', '12']","['37', '11', '2', '12']",243.0,2.0,245.0,100.0,3696.0,924.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2383,1107-4803,100.0,75.5,1,100.0,1,28,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
79_Recombination events.csv|2519,2519,79_Recombination events.csv,2715,2910,['19'],1000,2.5e-05,0.005,0.1,5000,50,3,2731,2910,2731-2910,['19'],['50'],"['6', '11', '46', '13', '12', '48']",16.0,0.0,16.0,91.8,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),55.36,100.0,1/1,100.0,1.0,1.0,1/1,59.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,2519,2715-2910,100.0,98.4,3,100.0,1,29,1,1,3,5,2,4,33.3%,20.0%,✅ Equal,8,2,6
78_Recombination events.csv|2509,2509,78_Recombination events.csv,4719,8121,['41'],1000,2.5e-05,0.005,0.1,5000,50,4,4720,8117,4720-8117,['41'],['9'],"['40', '45', '20', '26', '33', '15', '5', '43', '10']",1.0,4.0,5.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,2509,4719-8121,100.0,99.5,4,100.0,1,30,5,5,6,15,1,10,83.3%,33.3%,✅ Equal,21,10,11
77_Recombination events.csv|2326,2326,77_Recombination events.csv,381,10000,"['12', '29', '34', '49', '50']",1000,2.5e-05,0.005,0.1,5000,50,1,445,9990,445-9990,"['29', '12', '50', '34', '49']","['42', '11', '40', '35', '31', '45', '24', '13', '18', '32', '14', '17', '16', '48', '28']","['19', '27', '8', '2', '33', '44', '15', '39', '1', '9']",64.0,10.0,74.0,99.2,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (5/5),56.84,100.0,5/5,100.0,5.0,5.0,5/5,2.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,2326,381-10000,20.0,92.6,1,100.0,1,31,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2
76_Recombination events.csv|2470,2470,76_Recombination events.csv,708,10000,"['18', '27', '38', '44', '48']",1000,2.5e-05,0.005,0.1,5000,50,1,714,9768,714-9768,"['18', '27', '44', '38', '48']","['4', '31', '8', '49', '10']","['24', '19']",6.0,232.0,238.0,97.43865690916917,708.0,177.0,25.0,Step 1: Approximate,Case_F_Start_Start,Exact Recombinant Match,,54.48773138183384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,2470,708-10000,100.0,76.2,1,100.0,1,32,1,1,1,12,0,11,100.0%,8.3%,✅ Equal,13,2,11
73_Recombination events.csv|2479,2479,73_Recombination events.csv,528,6879,['29'],1000,2.5e-05,0.005,0.1,5000,50,1,568,6876,568-6876,['29'],['2'],"['31', '24', '7', '27', '43', '16', '22']",40.0,3.0,43.0,99.32294126909149,3649.0,912.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.8645882538183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2479,528-6879,100.0,95.7,1,100.0,1,33,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
72_Recombination events.csv|2272,2272,72_Recombination events.csv,7413,10000,"['32', '44', '48']",1000,2.5e-05,0.005,0.1,5000,50,1,7418,9996,7418-9996,"['32', '44', '48']",['34'],['49'],5.0,4.0,9.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (3/3),58.94,100.0,3/3,100.0,3.0,3.0,3/3,98.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,2272,7413-10000,100.0,99.1,1,100.0,1,34,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3
70_Recombination events.csv|2344,2344,70_Recombination events.csv,2100,4440,['7'],1000,2.5e-05,0.005,0.1,5000,50,1,2099,4408,2099-4408,['7'],"['11', '19', '4', '40', '13', '16', '48']",['39'],1.0,32.0,33.0,98.63247863247864,2340.0,585.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.72649572649573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2344,2100-4440,100.0,96.7,1,100.0,1,35,2,2,2,3,0,1,100.0%,66.7%,✅ Equal,5,4,1
7_Recombination events.csv|2275,2275,7_Recombination events.csv,7476,8685,"['16', '21', '25', '36', '43']",1000,2.5e-05,0.005,0.1,5000,50,1,7489,8704,7489-8704,"['25', '21', '43', '16', '36']","['42', '40', '35', '20', '24', '8', '2', '32', '37', '3', '15', '50', '1', '9', '10']","['34', '45']",13.0,19.0,32.0,98.9,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (5/5),56.78,100.0,5/5,100.0,5.0,5.0,5/5,86.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2275,7476-8685,20.0,96.8,1,100.0,1,36,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
31_Recombination events.csv|2584,2584,31_Recombination events.csv,2538,10000,['23'],1000,2.5e-05,0.005,0.1,5000,50,1,2498,9946,2498-9946,['23'],"['40', '31', '37', '14', '47', '9']","['6', '42', '19', '27']",40.0,54.0,94.0,99.3,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.86,100.0,1/1,100.0,1.0,1.0,1/1,81.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2584,2538-10000,100.0,90.6,1,100.0,1,37,2,2,3,6,1,4,66.7%,33.3%,✅ Equal,9,4,5
99_Recombination events.csv|2538,2538,99_Recombination events.csv,1785,10000,['45'],1000,2.5e-05,0.005,0.1,5000,50,1,1778,9990,1778-9990,['45'],['18'],"['4', '40', '32', '15', '43']",7.0,10.0,17.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,95.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2538,1785-10000,100.0,98.3,1,100.0,1,38,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2
19_Recombination events.csv|2534,2534,19_Recombination events.csv,1809,10000,['8'],1000,2.5e-05,0.005,0.1,5000,50,1,1820,9856,1820-9856,['8'],['45'],"['6', '3', '13', '19']",11.0,144.0,155.0,98.10767916005372,1809.0,452.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,54.62153583201075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2534,1809-10000,100.0,84.5,1,100.0,1,39,2,2,2,4,0,2,100.0%,50.0%,✅ Equal,6,4,2
