,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
10,11,1,100,70,2344,1,Standard_Match,Step 1: Approximate,2,2,2,3,0,1,100.0%,66.7%,✅ Equal,5,4,1,70_Recombination events.csv|2344,2344,70_Recombination events.csv,2100,4440,['7'],1000,0.000025,0.005,0.1,5000,50,2099,4408,2099-4408,['7'],"['40', '4', '16', '11', '48', '13', '19']",['39'],1,32,33,98.63247863247864,2340,585,25,Exact Recombinant Match,,56.72649572649573,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2100-4440,98.6%,100.0%,0,98.63247863247864,,,,,,,,,,100,96.7,0,1,7,0,1,❌ None
11,12,1,100,51,2571,2,Standard_Match,Step 1: Approximate,3,3,4,8,1,5,75.0%,37.5%,✅ Equal,12,6,6,51_Recombination events.csv|2571,2571,51_Recombination events.csv,6183,6669,['2'],1000,0.000025,0.005,0.1,5000,50,6174,6679,6174-6679,['2'],['9'],['19'],9,10,19,100,486,121.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,6183-6669,100.0%,100.0%,0,100,,,,,,,,,,100,98.1,0,1,7,0,2,❌ None
12,13,1,100,5,2513,1,🎯 Perfect Match (1/1),Step 2: Best Match,4,3,4,10,0,7,100.0%,30.0%,❌ Diff: RDP=4 vs Santa=3,14,7,7,5_Recombination events.csv|2513,2513,5_Recombination events.csv,3693,7239,"['13', '43']",1000,0.000025,0.005,0.1,5000,50,3697,7240,3697-7240,"['13', '43']",['48'],['27'],4,1,5,99.9,,,,,✅ Complete (2/2),58.980000000000004,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3693-7239,99.9%,100.0%,0,99.9,,,,,,,,,,100,99.5,0,1,1,0,1,❌ None
13,14,1,100,48,2461,1,Standard_Match,Step 1: Approximate,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4,48_Recombination events.csv|2461,2461,48_Recombination events.csv,2181,5619,['15'],1000,0.000025,0.005,0.1,5000,50,2174,5674,2174-5674,['15'],"['1', '31', '4', '2', '45']",['6'],7,55,62,100,3438,859.5,25,Exact Recombinant Match,,57,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2181-5619,100.0%,100.0%,0,100,,,,,,,,,,100,93.8,0,1,7,0,1,❌ None
14,15,1,100,42,2493,1,✅ Complete Match (1/1),Step 2: Best Match,2,2,2,11,0,9,100.0%,18.2%,✅ Equal,13,4,9,42_Recombination events.csv|2493,2493,42_Recombination events.csv,2355,10000,['26'],1000,0.000025,0.005,0.1,5000,50,2352,9977,2352-9977,['26'],"['37', '20', '25']","['33', '36']",3,23,26,99.7,,,,,🎯 Perfect (1/1),56.94,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2355-10000,99.7%,100.0%,0,99.7,,,,,,,,,,100,97.4,0,1,3,0,1,❌ None
15,16,1,100,4,2476,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4,4_Recombination events.csv|2476,2476,4_Recombination events.csv,1260,5280,"['22', '48']",1000,0.000025,0.005,0.1,5000,50,1270,5287,1270-5287,"['22', '48']",['46'],"['1', '31', '35', '18', '4', '23', '34', '47', '41']",10,7,17,99.8,,,,,✅ Complete (2/2),58.96,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1260-5280,99.8%,100.0%,0,99.8,,,,,,,,,,100,98.3,0,1,2,0,1,❌ None
16,17,1,100,38,2400,1,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,3,0,1,100.0%,66.7%,✅ Equal,5,4,1,38_Recombination events.csv|2400,2400,38_Recombination events.csv,339,3246,"['18', '29', '37', '39', '40']",1000,0.000025,0.005,0.1,5000,50,324,3248,324-3248,"['40', '37', '29', '18', '39']","['15', '19']","['30', '35', '4', '13']",15,2,17,100,,,,,✅ Complete (5/5),57,100,5/5,100,5,5,5/5,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,339-3246,100.0%,100.0%,0,100,,,,,,,,,,40,98.3,0,1,2,0,1,❌ None
17,18,1,100,36,2452,1,Standard_Match,Step 1: Approximate,4,4,5,7,1,3,80.0%,57.1%,✅ Equal,12,8,4,36_Recombination events.csv|2452,2452,36_Recombination events.csv,4995,10000,['47'],1000,0.000025,0.005,0.1,5000,50,4998,9990,4998-9990,['47'],['10'],"['22', '32']",3,10,13,99.74025974025975,4995,1248.8,25,Exact Recombinant Match,,58.948051948051955,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4995-10000,99.7%,100.0%,0,99.74025974025975,,,,,,,,,,100,98.7,0,1,7,0,1,❌ None
18,19,1,100,66,2427,1,Standard_Match,Step 1: Approximate,2,2,2,6,0,4,100.0%,33.3%,✅ Equal,8,4,4,66_Recombination events.csv|2427,2427,66_Recombination events.csv,2934,9471,['33'],1000,0.000025,0.005,0.1,5000,50,2930,9472,2930-9472,['33'],"['32', '46', '3', '23', '8', '19']",['21'],4,1,5,100,3463,865.8,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2934-9471,100.0%,100.0%,0,100,,,,,,,,,,100,99.5,0,1,7,0,1,❌ None
19,20,1,100,72,2272,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3,72_Recombination events.csv|2272,2272,72_Recombination events.csv,7413,10000,"['32', '44', '48']",1000,0.000025,0.005,0.1,5000,50,7418,9996,7418-9996,"['48', '44', '32']",['34'],['49'],5,4,9,99.7,,,,,✅ Complete (3/3),58.94,100,3/3,100,3,3,3/3,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7413-10000,99.7%,100.0%,0,99.7,,,,,,,,,,33.33333333333333,99.1,0,1,2,0,1,❌ None
20,21,1,100,32,2477,1,Standard_Match,Step 1: Approximate,3,3,3,9,0,6,100.0%,33.3%,✅ Equal,12,6,6,32_Recombination events.csv|2477,2477,32_Recombination events.csv,4710,9894,"['22', '32']",1000,0.000025,0.005,0.1,5000,50,4710,9902,4710-9902,"['22', '32']","['11', '13', '5', '40']","['12', '23', '45']",0,8,8,100,4816,1204,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4710-9894,100.0%,100.0%,0,100,,,,,,,,,,100,99.2,0,1,7,0,1,❌ None
21,22,1,100,84,2487,1,Standard_Match,Step 1: Approximate,1,1,1,9,0,8,100.0%,11.1%,✅ Equal,10,2,8,84_Recombination events.csv|2487,2487,84_Recombination events.csv,2721,10000,['21'],1000,0.000025,0.005,0.1,5000,50,2722,9996,2722-9996,['21'],"['40', '18', '3', '49', '23', '5']",['42'],1,4,5,99.93130924577552,2721,680.2,25,Exact Recombinant Match,,58.986261849155106,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2721-10000,99.9%,100.0%,0,99.93130924577552,,,,,,,,,,100,99.5,0,1,7,0,1,❌ None
22,23,1,100,97,2483,1,Standard_Match,Step 1: Approximate,1,1,1,12,0,11,100.0%,8.3%,✅ Equal,13,2,11,97_Recombination events.csv|2483,2483,97_Recombination events.csv,8106,10000,['19'],1000,0.000025,0.005,0.1,5000,50,8100,9983,8100-9983,['19'],['21'],"['16', '48', '47', '24']",6,17,23,99.10242872228089,1894,473.5,25,Exact Recombinant Match,,56.82048574445618,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,8106-10000,99.1%,100.0%,0,99.10242872228089,,,,,,,,,,100,97.7,0,1,7,0,1,❌ None
23,24,1,100,96,2454,1,Standard_Match,Step 1: Approximate,3,3,3,7,0,4,100.0%,42.9%,✅ Equal,10,6,4,96_Recombination events.csv|2454,2454,96_Recombination events.csv,2706,8733,['22'],1000,0.000025,0.005,0.1,5000,50,2694,8744,2694-8744,['22'],"['18', '38', '27', '47', '2', '5', '13']","['28', '25', '32', '43', '34', '36', '17', '19']",12,11,23,100,3973,993.2,25,Exact Recombinant Match,,57,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2706-8733,100.0%,100.0%,0,100,,,,,,,,,,100,97.7,0,1,7,0,1,❌ None
24,25,1,100,92,2368,1,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,7,0,5,100.0%,28.6%,✅ Equal,9,4,5,92_Recombination events.csv|2368,2368,92_Recombination events.csv,2850,7413,"['11', '15', '17', '29', '31', '34', '4', '41', '45']",1000,0.000025,0.005,0.1,5000,50,2814,7408,2814-7408,"['29', '31', '4', '34', '11', '17', '45', '15', '41']","['10', '18', '13', '14']","['1', '44', '25', '28', '46', '3', '38', '43', '47', '7', '36', '9', '33', '30', '20']",36,5,41,99.9,,,,,✅ Complete (9/9),56.980000000000004,100,9/9,100,9,9,9/9,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2850-7413,99.9%,100.0%,0,99.9,,,,,,,,,,55.55555555555556,95.9,0,1,2,0,1,❌ None
25,26,1,100,9,2401,1,✅ Complete Match (1/1),Step 2: Best Match,1,1,1,6,0,5,100.0%,16.7%,✅ Equal,7,2,5,9_Recombination events.csv|2401,2401,9_Recombination events.csv,1533,10000,"['28', '43', '9']",1000,0.000025,0.005,0.1,5000,50,1459,9970,1459-9970,"['9', '43', '28']","['24', '25', '4', '6', '18', '27', '47', '16', '5', '26', '22', '33', '10', '30', '39']","['3', '23', '36', '11', '50', '14', '41']",74,30,104,99.6,,,,,✅ Complete (3/3),56.92,100,3/3,100,3,3,3/3,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1533-10000,99.6%,100.0%,0,99.6,,,,,,,,,,33.33333333333333,89.6,0,1,3,0,1,❌ None
26,27,1,100,89,2498,1,⭐ Excellent Match (1/1),Step 2: Best Match,7,7,8,12,1,5,87.5%,58.3%,✅ Equal,20,14,6,89_Recombination events.csv|2498,2498,89_Recombination events.csv,5958,10000,"['16', '23', '26']",1000,0.000025,0.005,0.1,5000,50,5956,9990,5956-9990,"['16', '23', '26']","['5', '48', '34']","['7', '29', '39']",2,10,12,99.8,,,,,✅ Complete (3/3),58.96,100,3/3,100,3,3,3/3,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5958-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100,98.8,0,1,2,0,1,❌ None
27,28,1,100,87,2455,"4, 8",Cross Match (Case_S1_E2E),Step 6: Cross Matches,4,3,8,11,4,8,50.0%,27.3%,❌ Diff: RDP=4 vs Santa=3,19,7,12,87_Recombination events.csv|2455,2455,87_Recombination events.csv,2919,5886,['2'],1000,0.000025,0.005,0.1,5000,50,2930,5888,2930-4905 | 4907-5888,['2'] | ['2'],"['12', '7'] | ['24', '6', '27', '23', '38', '16', '26', '39']","['9', '40', '44'] | ['31', '28', '25', '32', '35', '34', '36', '33', '10', '45']",,,,,,,,,,85.5,,,100,,,,50,,,,,,,100,,,,,100,,,,2,,,,,,,,,100,✅ Yes,✅ Yes,8.0,4.0,None,0.0,✅ Yes,✅ Yes,"4, 8",2919-5886,100.0%,100.0%,100,100,,,,,,,,,,100,98.7,5,3,4,100,"8,4",✅ Start+End
28,29,1,100,85,2487,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,2,0,1,100.0%,50.0%,✅ Equal,3,2,1,85_Recombination events.csv|2487,2487,85_Recombination events.csv,2121,9678,"['34', '47']",1000,0.000025,0.005,0.1,5000,50,2122,9686,2122-9686,"['34', '47']","['29', '46', '6', '27', '7', '48', '26', '30']","['40', '36', '15', '2']",1,8,9,100,,,,,✅ Complete (2/2),59,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2121-9678,100.0%,100.0%,0,100,,,,,,,,,,100,99.1,0,1,2,0,1,❌ None
29,30,1,100,82,2515,2,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,9,0,7,100.0%,22.2%,✅ Equal,11,4,7,82_Recombination events.csv|2515,2515,82_Recombination events.csv,9054,10000,"['11', '42', '50', '7']",1000,0.000025,0.005,0.1,5000,50,9054,9992,9054-9992,"['11', '50', '42', '7']",['48'],"['29', '31']",0,8,8,99.2,,,,,✅ Complete (4/4),58.84,100,4/4,100,4,4,4/4,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,9054-10000,99.2%,100.0%,0,99.2,,,,,,,,,,100,99.2,0,1,2,0,2,❌ None
30,31,1,100,73,2479,1,Standard_Match,Step 1: Approximate,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4,73_Recombination events.csv|2479,2479,73_Recombination events.csv,528,6879,['29'],1000,0.000025,0.005,0.1,5000,50,568,6876,568-6876,['29'],['2'],"['24', '31', '27', '43', '7', '16', '22']",40,3,43,99.32294126909149,3649,912.2,25,Exact Recombinant Match,,56.8645882538183,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,528-6879,99.3%,100.0%,0,99.32294126909149,,,,,,,,,,100,95.7,0,1,7,0,1,❌ None
31,32,1,100,81,2331,1,Standard_Match,Step 1: Approximate,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2,81_Recombination events.csv|2331,2331,81_Recombination events.csv,4137,8109,"['12', '50']",1000,0.000025,0.005,0.1,5000,50,4131,8098,4131-8098,"['12', '50']","['25', '6', '2', '5', '42', '13']","['18', '21']",6,11,17,99.72306143001008,3972,993,25,Exact Recombinant Match,,56.94461228600201,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4137-8109,99.7%,100.0%,0,99.72306143001008,,,,,,,,,,100,98.3,0,1,7,0,1,❌ None
32,33,1,100,80,2444,1,⭐ Excellent Match (1/1),Step 2: Best Match,3,3,3,8,0,5,100.0%,37.5%,✅ Equal,11,6,5,80_Recombination events.csv|2444,2444,80_Recombination events.csv,3303,9357,['50'],1000,0.000025,0.005,0.1,5000,50,3318,9372,3318-9372,['50'],"['35', '18', '38', '23', '34', '36', '26', '30']","['21', '2', '16', '48', '33', '14']",15,15,30,99.8,,,,,🎯 Perfect (1/1),56.96,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3303-9357,99.8%,100.0%,0,99.8,,,,,,,,,,100,97,0,1,2,0,1,❌ None
33,34,1,100,79,2519,3,✅ Complete Match (1/1),Step 2: Best Match,2,2,3,5,1,3,66.7%,40.0%,✅ Equal,8,4,4,79_Recombination events.csv|2519,2519,79_Recombination events.csv,2715,2910,['19'],1000,0.000025,0.005,0.1,5000,50,2731,2910,2731-2910,['19'],['50'],"['46', '6', '11', '48', '12', '13']",16,0,16,91.8,,,,,🎯 Perfect (1/1),55.36,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2715-2910,91.8%,100.0%,0,91.8,,,,,,,,,,100,98.4,0,1,3,0,3,❌ None
34,35,1,100,78,2509,4,🎯 Perfect Match (1/1),Step 2: Best Match,4,4,6,15,2,11,66.7%,26.7%,✅ Equal,21,8,13,78_Recombination events.csv|2509,2509,78_Recombination events.csv,4719,8121,['41'],1000,0.000025,0.005,0.1,5000,50,4720,8117,4720-8117,['41'],['9'],"['40', '43', '5', '45', '26', '33', '10', '15', '20']",1,4,5,99.9,,,,,🎯 Perfect (1/1),58.980000000000004,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,4719-8121,99.9%,100.0%,0,99.9,,,,,,,,,,100,99.5,0,1,1,0,4,❌ None
35,36,1,100,77,2326,1,✅ Complete Match (1/1),Step 2: Best Match,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2,77_Recombination events.csv|2326,2326,77_Recombination events.csv,381,10000,"['12', '29', '34', '49', '50']",1000,0.000025,0.005,0.1,5000,50,445,9990,445-9990,"['29', '49', '34', '50', '12']","['40', '31', '24', '28', '18', '32', '35', '16', '11', '48', '17', '42', '45', '13', '14']","['1', '44', '27', '2', '9', '8', '33', '15', '19', '39']",64,10,74,99.2,,,,,✅ Complete (5/5),56.84,100,5/5,100,5,5,5/5,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,381-10000,99.2%,100.0%,0,99.2,,,,,,,,,,40,92.6,0,1,3,0,1,❌ None
