,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
113,113,114,4,66.21576486305946,2,9781,11,✅ Complete Match (1/1),Step 2: Best Match,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65,2_Recombination events.csv|9781,9781,2_Recombination events.csv,9285,9516,"['24', '25', '47']",1000,0.0002,0.02,0.1,5000,50,9294,9518,9294-9518,"['25', '24', '47']",['40'],"['29', '39']",9,2,11,96.1,,,,,✅ Complete (3/3),58.22,100,3/3,100,3,3,3/3,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,11,9285-9516,96.1%,100.0%,0,96.1,,,,,,,,,,33.33333333333333,98.9,0,1,3,0,11,❌ None
135,135,136,5,50.96442885771543,2,175,2,✅ Complete Match (1/1),Step 2: Best Match,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65,2_Recombination events.csv|175,175,2_Recombination events.csv,2616,7005,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,3215,7262,3215-7262,"['21', '11', '6', '18', '10', '15', '14', '43', '4', '37', '41', '3', '5', '28', '29', '16', '1', '50', '30', '34', '9', '39', '42', '33', '24', '38', '45', '17', '25', '46', '32', '47']",['40'],"['20', '12']",599,257,856,86.4,,,,,✅ Complete (32/32),50.28,64,32/32,100,50,32,32/32,30,95.9,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,2616-7005,86.4%,100.0%,0,86.4,,,,,,,,,,87.5,14.400000000000006,0,1,3,0,2,❌ None
142,142,143,6,50,2,9942,4,Case_A_End_End,Step 1: Approximate,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65,2_Recombination events.csv|9942,9942,2_Recombination events.csv,3225,8754,['38'],1000,0.0002,0.02,0.1,5000,50,7263,8752,7263-8752,['38'],"['19', '35', '27', '23', '49', '8', '31', '48']","['6', '15', '17', '28', '50']",4038,2,4040,26.93072888406584,4471,1117.8,25,Exact Recombinant Match,,38.386145776813166,,,,,,,30,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,3225-8754,26.9%,100.0%,0,26.93072888406584,,,,,,,,,,100,0,0,1,8,0,4,❌ None
162,162,163,7,49.44889779559119,2,9872,6,⭐ Excellent Match (1/1),Step 2: Best Match,7,7,11,68,4,61,63.6%,10.3%,✅ Equal,79,14,65,2_Recombination events.csv|9872,9872,2_Recombination events.csv,2745,10000,"['12', '20']",1000,0.0002,0.02,0.1,5000,50,2739,9993,2739-9993,"['20', '12']","['34', '37', '3', '10', '46', '43', '32']","['36', '2']",6,7,13,99.9,,,,,✅ Complete (2/2),58.98,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,2745-10000,99.9%,100.0%,0,99.9,,,,,,,,,,0,98.7,0,1,2,0,6,❌ None
10,10,11,1,100,3,9883,6,Standard_Match,Step 1: Approximate,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9883,9883,3_Recombination events.csv,2766,10000,"['28', '48']",1000,0.0002,0.02,0.1,5000,50,2766,9994,2766-9994,"['28', '48']","['46', '41']","['29', '18', '24']",0,6,6,99.91705833563726,2766,691.5,25,Exact Recombinant Match,,58.983411667127456,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,2766-10000,99.9%,100.0%,0,99.91705833563726,,,,,,,,,,100,99.4,0,1,7,0,6,❌ None
38,38,39,2,99.74849094567404,3,10037,1,Standard_Match,Step 1: Approximate,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|10037,10037,3_Recombination events.csv,1635,5454,"['16', '49']",1000,0.0002,0.02,0.1,5000,50,1640,5448,1640-5448,"['16', '49']","['20', '42']","['17', '7', '34']",5,6,11,99.71196648337262,3819,954.8,25,Exact Recombinant Match,,58.94239329667453,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1635-5454,99.7%,100.0%,0,99.71196648337262,,,,,,,,,,100,98.9,0,1,7,0,1,❌ None
60,60,61,3,99.19517102615694,3,9979,2,Standard_Match,Step 1: Approximate,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9979,9979,3_Recombination events.csv,1008,10000,"['45', '8', '9']",1000,0.0002,0.02,0.1,5000,50,994,9992,994-9992,"['45', '8', '9']","['29', '18', '24']","['7', '34', '17', '16', '49']",14,8,22,99.91103202846976,1008,252,25,Exact Recombinant Match,,56.98220640569395,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,1008-10000,99.9%,100.0%,0,99.91103202846976,,,,,,,,,,100,97.8,0,1,7,0,2,❌ None
61,61,62,4,99.14486921529176,3,9873,5,Standard_Match,Step 1: Approximate,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9873,9873,3_Recombination events.csv,5298,10000,"['10', '4']",1000,0.0002,0.02,0.1,5000,50,5314,9993,5314-9993,"['10', '4']",['19'],"['2', '22', '38', '6', '37', '12', '42', '36', '50', '40', '47']",16,7,23,99.51084644831988,4702,1175.5,25,Exact Recombinant Match,,56.90216928966397,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,5298-10000,99.5%,100.0%,0,99.51084644831988,,,,,,,,,,100,97.7,0,1,7,0,5,❌ None
66,66,67,5,98.08853118712273,3,9680,14,Standard_Match,Step 1: Approximate,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9680,9680,3_Recombination events.csv,4146,10000,['36'],1000,0.0002,0.02,0.1,5000,50,4136,9966,4136-9966,['36'],"['7', '34', '45', '17', '8']","['29', '18', '24']",10,34,44,99.41920054663478,4146,1036.5,25,Exact Recombinant Match,,56.88384010932696,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,14,4146-10000,99.4%,100.0%,0,99.41920054663478,,,,,,,,,,100,95.6,0,1,7,0,14,❌ None
71,71,72,6,95.07042253521126,3,9742,12,Standard_Match,Step 1: Approximate,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9742,9742,3_Recombination events.csv,6537,7971,['36'],1000,0.0002,0.02,0.1,5000,50,6458,7996,6458-7996,['36'],"['10', '4']",['32'],79,25,104,100,1434,358.5,25,Exact Recombinant Match,,57,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,12,6537-7971,100.0%,100.0%,0,100,,,,,,,,,,100,89.6,0,1,7,0,12,❌ None
92,92,93,7,79.54728370221328,3,9450,4,✅ Complete Match (1/1),Step 2: Best Match,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9450,9450,3_Recombination events.csv,5826,6663,"['10', '14', '15', '16', '18', '20', '21', '24', '27', '28', '29', '32', '4', '41', '42', '45', '46', '48', '49', '8', '9']",1000,0.0002,0.02,0.1,5000,50,5816,6668,5816-6668,"['48', '18', '28', '29', '24']","['13', '31', '25']","['19', '11', '35', '10', '39', '26', '43', '4']",10,5,15,100,,,,,✅ Complete (5/5),59,23.8,5/5,100,21,5,5/5,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,5826-6663,100.0%,100.0%,0,100,,,,,,,,,,60,98.5,0,1,3,0,4,❌ None
103,103,104,8,74.59758551307846,3,9640,"7, 9",Cluster (2 RDPs),Step 5: Cluster,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9640,9640,3_Recombination events.csv,6462,10000,"['10', '15', '21', '28', '4', '41', '46', '48']",1000,0.0002,0.02,0.1,5000,50,6466,9990,6466-6668 | 6669-9990,"['21', '46', '41', '15'] | ['21', '46', '41', '15']","['13', '31', '25'] | ['48', '18', '28', '29', '24']","['19', '11', '35', '39', '26', '43'] | ['19', '11', '35', '39', '26', '43']",,,,,,,,,,85,,,100,,,,50,,,,,,,,,,,,100,,,,,,,,,,,,,100,✅ Yes,✅ Yes,9,7,,0,✅ Yes,✅ Yes,"7, 9",6462-10000,100.0%,100.0%,100,100,,,,,,,,,,50,98.6,0,3,5,100,"7,9",✅ Start+End
114,114,115,9,65.96244131455398,3,3797,8,✅ Complete Match (1/1),Step 2: Best Match,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|3797,3797,3_Recombination events.csv,9555,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,9563,9988,9563-9988,"['44', '30', '3']","['26', '43']","['7', '34', '17', '16', '49', '40']",8,12,20,95.5,,,,,✅ Complete (3/3),56.1,6,3/3,100,50,3,3/3,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,8,9555-10000,95.5%,100.0%,0,95.5,,,,,,,,,,33.33333333333333,98,0,1,3,0,8,❌ None
116,116,117,10,65.66063044936284,3,9956,15,Cross Match (Case_S1_E2E),Step 6: Cross Matches,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9956,9956,3_Recombination events.csv,7950,10000,"['3', '30', '44']",1000,0.0002,0.02,0.1,5000,50,7964,9988,7964-9561,"['44', '30', '3'] | ['44', '30', '3']","['50', '47', '40', '12'] | ['26', '43']","['7', '34', '17', '16', '49'] | ['7', '34', '17', '16', '49', '40']",,,,,,,,,,85.5,,,100,,,,50,,,,,,,100,,,,,100,,,,2,,,,,,,,,100,✅ Yes,✅ Yes,15,8,,0,✅ Yes,✅ Yes,15,7950-10000,100.0%,100.0%,100,100,,,,,,,,,,33.33333333333333,97.4,5,3,4,100,15,✅ Start+End
129,129,130,11,56.06136820925553,3,9861,11,✅ Complete Match (1/1),Step 2: Best Match,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9861,9861,3_Recombination events.csv,5271,10000,"['14', '16', '20', '27', '32', '42', '49']",1000,0.0002,0.02,0.1,5000,50,5376,9971,5376-9971,"['27', '14', '20', '42']",['32'],"['36', '18']",105,29,134,97.2,,,,,✅ Complete (4/4),54.44,57.1,4/4,100,7,4,4/4,50,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,11,5271-10000,97.2%,100.0%,0,97.2,,,,,,,,,,25,86.6,0,1,3,0,11,❌ None
141,141,142,12,50,3,9957,16,Case_F_Start_Start,Step 1: Approximate,13,12,16,31,3,19,81.2%,38.7%,❌ Diff: RDP=13 vs Santa=12,47,25,22,3_Recombination events.csv|9957,9957,3_Recombination events.csv,1065,10000,['32'],1000,0.0002,0.02,0.1,5000,50,1080,4114,1080-4114,['32'],['14'],"['17', '7', '34']",15,5886,5901,33.95635142697258,1065,266.2,25,Exact Recombinant Match,,39.79127028539452,,,,,,,30,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,16,1065-10000,34.0%,100.0%,0,33.95635142697258,,,,,,,,,,100,0,0,1,8,0,16,❌ None
9,9,10,1,100,4,9991,"5, 6",Cross Match (Case_S1_E2E),Step 6: Cross Matches,7,6,8,57,1,51,87.5%,10.5%,❌ Diff: RDP=7 vs Santa=6,65,13,52,4_Recombination events.csv|9991,9991,4_Recombination events.csv,5406,10000,"['19', '33']",1000,0.0002,0.02,0.1,5000,50,5405,9998,5405-9368 | 9409-9998,"['19', '33'] | ['19', '33']","['41', '48'] | ['41', '48']","['50', '11', '22', '18', '3', '40', '39', '17', '5', '46', '31', '43', '24'] | ['7', '32']",,,,,,,,,,85.5,,,100,,,,50,,,,,,,100,,,,,100,,,,2,,,,,,,,,100,✅ Yes,✅ Yes,6,5,,0,✅ Yes,✅ Yes,"5, 6",5406-10000,100.0%,100.0%,100,100,,,,,,,,,,100,99.7,5,3,4,100,"6,5",✅ Start+End
54,54,55,2,99.39819458375126,4,9965,1,⭐ Excellent Match (1/1),Step 2: Best Match,7,6,8,57,1,51,87.5%,10.5%,❌ Diff: RDP=7 vs Santa=6,65,13,52,4_Recombination events.csv|9965,9965,4_Recombination events.csv,5859,10000,"['15', '4']",1000,0.0002,0.02,0.1,5000,50,5846,9998,5846-9998,"['15', '4']","['21', '34', '37', '10', '36', '16', '49', '47']","['31', '8', '1', '30']",13,2,15,100,,,,,✅ Complete (2/2),57,100,2/2,100,2,2,2/2,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5859-10000,100.0%,100.0%,0,100,,,,,,,,,,100,98.5,0,1,2,0,1,❌ None
62,62,63,3,98.89669007021064,4,9941,4,✅ Complete Match (1/1),Step 2: Best Match,7,6,8,57,1,51,87.5%,10.5%,❌ Diff: RDP=7 vs Santa=6,65,13,52,4_Recombination events.csv|9941,9941,4_Recombination events.csv,7920,10000,"['2', '25']",1000,0.0002,0.02,0.1,5000,50,7942,9997,7942-9997,"['2', '25']","['33', '41', '48']","['9', '27', '23', '20', '12', '13', '14']",22,3,25,98.8,,,,,✅ Complete (2/2),56.760000000000005,100,2/2,100,2,2,2/2,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,7920-10000,98.8%,100.0%,0,98.8,,,,,,,,,,100,97.5,0,1,3,0,4,❌ None
98,98,99,4,75.16119787935234,4,4177,8,✅ Complete Match (1/1),Step 2: Best Match,7,6,8,57,1,51,87.5%,10.5%,❌ Diff: RDP=7 vs Santa=6,65,13,52,4_Recombination events.csv|4177,4177,4_Recombination events.csv,3219,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0002,0.02,0.1,5000,50,3288,9998,3288-9998,"['30', '6', '15', '31', '8', '1', '4']","['11', '22', '18', '3', '40', '39', '17', '5', '46', '50', '43', '24']","['41', '48']",69,2,71,99,,,,,✅ Complete (7/7),56.8,14,7/7,100,50,7,7/7,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,8,3219-10000,99.0%,100.0%,0,99,,,,,,,,,,57.14285714285714,92.9,0,1,3,0,8,❌ None
