Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
10,11,1,100.0,19,9902,1,Standard_Match,Step 1: Approximate,3,3,4,28,1,25,75.0%,10.7%,✅ Equal,32,6,26,19_Recombination events.csv|9902,9902,19_Recombination events.csv,4605,10000,['12'],1000,0.0002,0.02,0.1,5000,50,4604,9990,4604-9990,['12'],['49'],['45'],1.0,10.0,11.0,99.81464318813715,4605.0,1151.2,25.0,Exact Recombinant Match,,58.96292863762744,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,4605-10000,99.8%,100.0%,0,99.81464318813715,,,,,,,,,,100.0,98.9,0,1,7,0,1,❌ None
11,12,1,100.0,2,9891,1,Standard_Match,Step 1: Approximate,9,8,11,68,2,60,81.8%,11.8%,❌ Diff: RDP=9 vs Santa=8,79,17,62,2_Recombination events.csv|9891,9891,2_Recombination events.csv,402,1968,['25'],1000,0.0002,0.02,0.1,5000,50,400,1968,400-1968,['25'],['7'],['47'],2.0,0.0,2.0,100.0,1566.0,391.5,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,402-1968,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,7,0,1,❌ None
12,13,1,100.0,9,9861,3,Standard_Match,Step 1: Approximate,11,10,14,52,3,42,78.6%,19.2%,❌ Diff: RDP=11 vs Santa=10,66,21,45,9_Recombination events.csv|9861,9861,9_Recombination events.csv,8619,9465,"['2', '26']",1000,0.0002,0.02,0.1,5000,50,8618,9466,8618-9466,"['2', '26']",['13'],['32'],1.0,1.0,2.0,100.0,846.0,211.5,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,8619-9465,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.8,0,1,7,0,3,❌ None
13,14,1,100.0,6,10066,"1, 5",Cross Match (Case_S2_E1E),Step 6: Cross Matches,7,6,12,34,5,28,58.3%,17.6%,❌ Diff: RDP=7 vs Santa=6,46,13,33,6_Recombination events.csv|10066,10066,6_Recombination events.csv,2490,6267,['49'],1000,0.0002,0.02,0.1,5000,50,2490,6267,2490-6267 | 2523-3142,['49'] | ['49'],"['13', '40', '37'] | ['39', '23', '22', '6', '36', '38', '50', '29']","['18'] | ['5', '17', '26', '7']",,,,,,,,,,85.5,,,100.0,,,,50,,,,,,,100.0,,,,,100.0,,,,2.0,,,,,,,,,100.0,✅ Yes,✅ Yes,1.0,5.0,,0.0,✅ Yes,✅ Yes,"1, 5",2490-6267,100.0%,100.0%,100,100.0,,,,,,,,,,100.0,100.0,5,3,4,100,"1,5",✅ Start+End
14,15,1,100.0,7,9989,1,Standard_Match,Step 1: Approximate,8,7,8,34,0,27,100.0%,20.6%,❌ Diff: RDP=8 vs Santa=7,42,15,27,7_Recombination events.csv|9989,9989,7_Recombination events.csv,408,6165,"['39', '8']",1000,0.0002,0.02,0.1,5000,50,408,6166,408-6166,"['39', '8']",['30'],['45'],0.0,1.0,1.0,100.0,4243.0,1060.8,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,408-6165,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.9,0,1,7,0,1,❌ None
15,16,1,100.0,24,9915,4,⭐ Excellent Match (1/1),Step 2: Best Match,6,6,13,53,7,47,46.2%,11.3%,✅ Equal,66,12,54,24_Recombination events.csv|9915,9915,24_Recombination events.csv,1821,3027,['31'],1000,0.0002,0.02,0.1,5000,50,1821,3024,1821-3024,['31'],['25'],"['21', '43', '15', '44', '1', '33', '34', '10', '20', '23']",0.0,3.0,3.0,99.8,,,,,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,1821-3027,99.8%,100.0%,0,99.8,,,,,,,,,,100.0,99.7,0,1,2,0,4,❌ None
16,17,1,100.0,18,10005,1,Standard_Match,Step 1: Approximate,5,5,6,32,1,27,83.3%,15.6%,✅ Equal,38,10,28,18_Recombination events.csv|10005,10005,18_Recombination events.csv,7569,8814,"['13', '28']",1000,0.0002,0.02,0.1,5000,50,7568,8816,7568-8816,"['13', '28']","['30', '50']","['18', '27']",1.0,2.0,3.0,100.0,1245.0,311.2,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,7569-8814,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.7,0,1,7,0,1,❌ None
17,18,2,99.95,6,10067,2,Standard_Match,Step 1: Approximate,7,6,12,34,5,28,58.3%,17.6%,❌ Diff: RDP=7 vs Santa=6,46,13,33,6_Recombination events.csv|10067,10067,6_Recombination events.csv,1953,6990,['46'],1000,0.0002,0.02,0.1,5000,50,1952,6990,1952-6990,['46'],['48'],"['34', '10', '1', '25']",1.0,0.0,1.0,100.0,4963.0,1240.8,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,1953-6990,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.9,0,1,7,0,2,❌ None
18,19,2,99.95,12,9888,2,Standard_Match,Step 1: Approximate,9,8,14,61,5,53,64.3%,13.1%,❌ Diff: RDP=9 vs Santa=8,75,17,58,12_Recombination events.csv|9888,9888,12_Recombination events.csv,234,7677,['22'],1000,0.0002,0.02,0.1,5000,50,234,7678,234-7678,['22'],"['30', '47', '26']",['27'],0.0,1.0,1.0,100.0,2557.0,639.2,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,234-7677,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.9,0,1,7,0,2,❌ None
19,20,3,99.9498997995992,13,9589,4,🎯 Perfect Match (1/1),Step 2: Best Match,9,9,11,46,2,37,81.8%,19.6%,✅ Equal,57,18,39,13_Recombination events.csv|9589,9589,13_Recombination events.csv,987,9186,"['27', '35', '36']",1000,0.0002,0.02,0.1,5000,50,986,9188,986-9188,"['27', '36']",['48'],"['40', '37', '15', '8', '26', '13']",1.0,2.0,3.0,100.0,,,,,✅ Complete (2/2),59.0,66.7,2/2,100.0,3.0,2.0,2/2,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,987-9186,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.7,0,1,1,0,4,❌ None
20,21,2,99.9498997995992,25,9933,1,Standard_Match,Step 1: Approximate,4,4,6,47,2,43,66.7%,8.5%,✅ Equal,53,8,45,25_Recombination events.csv|9933,9933,25_Recombination events.csv,1839,5970,"['38', '42']",1000,0.0002,0.02,0.1,5000,50,1836,5970,1836-5970,"['38', '42']","['9', '35', '8']",['33'],3.0,0.0,3.0,100.0,4131.0,1032.8,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,1839-5970,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.7,0,1,7,0,1,❌ None
21,22,2,99.9498997995992,2,9898,2,🎯 Perfect Match (1/1),Step 2: Best Match,9,8,11,68,2,60,81.8%,11.8%,❌ Diff: RDP=9 vs Santa=8,79,17,62,2_Recombination events.csv|9898,9898,2_Recombination events.csv,3213,7260,['40'],1000,0.0002,0.02,0.1,5000,50,3214,7262,3214-7262,['40'],"['20', '12']","['35', '38']",1.0,2.0,3.0,100.0,,,,,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,3213-7260,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.7,0,1,1,0,2,❌ None
22,23,2,99.94984954864594,24,9919,1,Standard_Match,Step 1: Approximate,6,6,13,53,7,47,46.2%,11.3%,✅ Equal,66,12,54,24_Recombination events.csv|9919,9919,24_Recombination events.csv,4659,9021,['2'],1000,0.0002,0.02,0.1,5000,50,4656,9022,4656-9022,['2'],['34'],"['22', '28', '24']",3.0,1.0,4.0,100.0,4362.0,1090.5,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,4659-9021,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.6,0,1,7,0,1,❌ None
23,24,1,99.94979919678715,11,10049,1,Standard_Match,Step 1: Approximate,5,5,5,56,0,51,100.0%,8.9%,✅ Equal,61,10,51,11_Recombination events.csv|10049,10049,11_Recombination events.csv,7440,10000,['7'],1000,0.0002,0.02,0.1,5000,50,7439,9996,7439-9996,['7'],"['45', '16']","['30', '2', '40', '44', '26', '25', '31', '41', '27', '32', '10', '20', '11', '23']",1.0,4.0,5.0,99.84375,2560.0,640.0,25.0,Exact Recombinant Match,,58.96875,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,7440-10000,99.8%,100.0%,0,99.84375,,,,,,,,,,100.0,99.5,0,1,7,0,1,❌ None
24,25,1,99.8998998998999,5,9859,2,🎯 Perfect Match (1/1),Step 2: Best Match,10,10,19,46,9,36,52.6%,21.7%,✅ Equal,65,20,45,5_Recombination events.csv|9859,9859,5_Recombination events.csv,4131,9180,['31'],1000,0.0002,0.02,0.1,5000,50,4130,9178,4130-9178,['31'],['1'],"['40', '45', '5', '22', '28', '7', '38', '16']",1.0,2.0,3.0,100.0,,,,,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,4131-9180,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.7,0,1,1,0,2,❌ None
25,26,2,99.8998998998999,14,9879,1,🎯 Perfect Match (1/1),Step 2: Best Match,9,8,14,44,5,36,64.3%,18.2%,❌ Diff: RDP=9 vs Santa=8,58,17,41,14_Recombination events.csv|9879,9879,14_Recombination events.csv,4998,7317,['17'],1000,0.0002,0.02,0.1,5000,50,4998,7314,4998-7314,['17'],"['12', '5', '45', '4', '36', '9', '21']","['6', '48', '20', '42', '7', '30', '37', '43', '8', '31', '24', '3', '10', '35', '38', '29', '26', '19', '49', '28', '39', '46', '47', '1', '22', '16', '33', '41', '27', '13', '25', '50']",0.0,3.0,3.0,99.9,,,,,🎯 Perfect (1/1),58.98,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,1,4998-7317,99.9%,100.0%,0,99.9,,,,,,,,,,100.0,99.7,0,1,1,0,1,❌ None
26,27,3,99.85,6,10053,3,Standard_Match,Step 1: Approximate,7,6,12,34,5,28,58.3%,17.6%,❌ Diff: RDP=7 vs Santa=6,46,13,33,6_Recombination events.csv|10053,10053,6_Recombination events.csv,2850,3927,['8'],1000,0.0002,0.02,0.1,5000,50,2852,3926,2852-3926,['8'],['23'],"['4', '12']",2.0,1.0,3.0,99.72144846796658,1077.0,269.2,25.0,Exact Recombinant Match,,58.94428969359332,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,3,2850-3927,99.7%,100.0%,0,99.72144846796658,,,,,,,,,,100.0,99.7,0,1,7,0,3,❌ None
27,28,3,99.84984984984985,17,9974,11,Cross Match (Case_S2_E1E),Step 6: Cross Matches,8,6,12,44,4,38,66.7%,13.6%,❌ Diff: RDP=8 vs Santa=6,56,14,42,17_Recombination events.csv|9974,9974,17_Recombination events.csv,1131,9474,['38'],1000,0.0002,0.02,0.1,5000,50,1134,9475,1134-9475,['38'] | ['38'],"['6'] | ['43', '22', '13']","['43', '22', '13'] | ['47', '23', '10', '20', '50', '46']",,,,,,,,,,85.5,,,100.0,,,,50,,,,,,,100.0,,,,,100.0,,,,2.0,,,,,,,,,100.0,✅ Yes,✅ Yes,6.0,11.0,,0.0,✅ Yes,✅ Yes,11,1131-9474,100.0%,100.0%,100,100.0,,,,,,,,,,100.0,99.6,5,3,4,100,11,✅ Start+End
28,29,2,99.84984984984985,17,9974,6,⭐ Excellent Match (1/1),Step 2: Best Match,8,6,12,44,4,38,66.7%,13.6%,❌ Diff: RDP=8 vs Santa=6,56,14,42,17_Recombination events.csv|9974,9974,17_Recombination events.csv,1131,9474,['38'],1000,0.0002,0.02,0.1,5000,50,1134,9475,1134-9475,['38'],['6'],"['43', '22', '13']",3.0,1.0,4.0,100.0,,,,,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,6,1131-9474,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.6,0,1,2,0,6,❌ None
29,30,2,99.84984984984985,5,9838,10,Standard_Match,Step 1: Approximate,10,10,19,46,9,36,52.6%,21.7%,✅ Equal,65,20,45,5_Recombination events.csv|9838,9838,5_Recombination events.csv,5727,6525,['45'],1000,0.0002,0.02,0.1,5000,50,5724,6526,5724-6526,['45'],['13'],"['28', '22']",3.0,1.0,4.0,100.0,798.0,199.5,25.0,Exact Recombinant Match,,59.0,,,,,,,90,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,10,5727-6525,100.0%,100.0%,0,100.0,,,,,,,,,,100.0,99.6,0,1,7,0,1,❌ None
30,31,1,99.8496993987976,22,9843,"4, 5",Cross Match (Case_S1_E2E),Step 6: Cross Matches,11,9,13,48,2,39,84.6%,18.8%,❌ Diff: RDP=11 vs Santa=9,61,20,41,22_Recombination events.csv|9843,9843,22_Recombination events.csv,5007,10000,['38'],1000,0.0002,0.02,0.1,5000,50,5007,9995,5007-6996 | 8858-9995,['38'] | ['38'],"['40', '12', '24', '33', '19', '27', '11', '42'] | ['7', '30', '14', '35', '39', '29', '26', '45', '31', '16', '41', '49', '46', '32', '9', '10', '2', '23']","['22'] | ['43', '8', '5', '44', '22', '34', '20', '25', '50']",,,,,,,,,,85.5,,,100.0,,,,50,,,,,,,100.0,,,,,100.0,,,,2.0,,,,,,,,,100.0,✅ Yes,✅ Yes,5.0,4.0,,0.0,✅ Yes,✅ Yes,"4, 5",5007-10000,100.0%,100.0%,100,100.0,,,,,,,,,,100.0,99.5,5,3,4,100,"5,4",✅ Start+End
31,32,2,99.84954864593782,10,9912,8,✅ Complete Match (1/1),Step 2: Best Match,10,10,20,54,10,44,50.0%,18.5%,✅ Equal,74,20,54,10_Recombination events.csv|9912,9912,10_Recombination events.csv,3678,4026,['7'],1000,0.0002,0.02,0.1,5000,50,3682,4028,3682-4028,['7'],['43'],['42'],4.0,2.0,6.0,98.9,,,,,🎯 Perfect (1/1),58.78,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,8,3678-4026,98.9%,100.0%,0,98.9,,,,,,,,,,100.0,99.4,0,1,3,0,8,❌ None
32,33,2,99.84954864593782,15,9689,2,⭐ Excellent Match (1/1),Step 2: Best Match,11,11,14,54,3,43,78.6%,20.4%,✅ Equal,68,22,46,15_Recombination events.csv|9689,9689,15_Recombination events.csv,9054,10000,['47'],1000,0.0002,0.02,0.1,5000,50,9050,9998,9050-9998,['47'],"['22', '2', '3']","['6', '48', '5', '45', '31', '49', '20']",4.0,2.0,6.0,99.8,,,,,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,2,9054-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100.0,99.4,0,1,2,0,2,❌ None
33,34,2,99.84939759036143,11,10045,4,✅ Complete Match (1/1),Step 2: Best Match,5,5,5,56,0,51,100.0%,8.9%,✅ Equal,61,10,51,11_Recombination events.csv|10045,10045,11_Recombination events.csv,9543,10000,['3'],1000,0.0002,0.02,0.1,5000,50,9544,9994,9544-9994,['3'],"['6', '18']","['33', '21', '12', '24']",1.0,6.0,7.0,98.5,,,,,🎯 Perfect (1/1),58.7,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,4,9543-10000,98.5%,100.0%,0,98.5,,,,,,,,,,100.0,99.3,0,1,3,0,4,❌ None
34,35,3,99.7997997997998,5,9734,12,⭐ Excellent Match (1/1),Step 2: Best Match,10,10,19,46,9,36,52.6%,21.7%,✅ Equal,65,20,45,5_Recombination events.csv|9734,9734,5_Recombination events.csv,8415,10000,['8'],1000,0.0002,0.02,0.1,5000,50,8416,9996,8416-9996,['8'],"['24', '40', '41', '45', '5', '4', '23', '12', '22', '3', '28', '48', '7', '38', '16', '26', '34']","['47', '2', '36', '21']",1.0,4.0,5.0,99.7,,,,,🎯 Perfect (1/1),58.94,100.0,1/1,100.0,1.0,1.0,1/1,90,100.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,12,8415-10000,99.7%,100.0%,0,99.7,,,,,,,,,,100.0,99.5,0,1,2,0,12,❌ None
