,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
10,11,1,100,23,2521,1,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,5,11,1,7,80.0%,36.4%,✅ Equal,16,8,8,23_Recombination events.csv|2521,2521,23_Recombination events.csv,5685,10000,"['10', '33']",1000,0.0002,0.005,0.1,5000,50,5691,9997,5691-9997,"['10', '33']",['17'],"['29', '21', '38', '35', '49', '43', '20', '16']",6,3,9,99.8,,,,,✅ Complete (2/2),58.96,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5685-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100,99.1,0,1,2,0,1,❌ None
11,12,1,100,35,2414,1,🎯 Perfect Match (1/1),Step 2: Best Match,3,3,4,10,1,7,75.0%,30.0%,✅ Equal,14,6,8,35_Recombination events.csv|2414,2414,35_Recombination events.csv,3345,10000,['42'],1000,0.0002,0.005,0.1,5000,50,3346,9998,3346-9998,['42'],"['10', '34', '31', '45']","['40', '50', '23']",1,2,3,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3345-10000,100.0%,100.0%,0,100,,,,,,,,,,100,99.7,0,1,1,0,1,❌ None
12,13,1,100,43,2388,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,6,0,5,100.0%,16.7%,✅ Equal,7,2,5,43_Recombination events.csv|2388,2388,43_Recombination events.csv,4806,5706,"['14', '15', '22', '28', '30', '41', '45', '47', '5', '7']",1000,0.0002,0.005,0.1,5000,50,4806,5704,4806-5704,"['28', '22', '47', '30', '7', '15', '41', '14', '5', '45']","['10', '2', '18', '50', '48', '9', '3', '17', '23']","['29', '21', '4', '27', '40', '37', '11', '20', '39']",0,2,2,99.8,,,,,✅ Complete (10/10),58.96,100,10/10,100,10,10,10/10,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4806-5706,99.8%,100.0%,0,99.8,,,,,,,,,,60,99.8,0,1,2,0,1,❌ None
13,14,1,100,45,2555,4,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,11,13,7,9,36.4%,30.8%,✅ Equal,24,8,16,45_Recombination events.csv|2555,2555,45_Recombination events.csv,720,10000,['24'],1000,0.0002,0.005,0.1,5000,50,720,9998,720-9998,['24'],['30'],['17'],0,2,2,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,720-10000,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,2,0,4,❌ None
14,15,1,100,41,2472,3,🎯 Perfect Match (1/1),Step 2: Best Match,3,3,3,11,0,8,100.0%,27.3%,✅ Equal,14,6,8,41_Recombination events.csv|2472,2472,41_Recombination events.csv,5988,6978,"['16', '21', '37', '4', '40', '44', '8']",1000,0.0002,0.005,0.1,5000,50,5989,6978,5989-6978,"['44', '37', '21', '4']","['22', '26', '35', '8', '7', '40', '42', '16', '23']","['19', '33', '17', '36']",1,0,1,99.9,,,,,✅ Complete (4/4),58.980000000000004,57.1,4/4,100,7,4,4/4,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,5988-6978,99.9%,100.0%,0,99.9,,,,,,,,,,50,99.9,0,1,1,0,3,❌ None
15,16,1,100,40,2391,1,🎯 Perfect Match (1/1),Step 2: Best Match,2,2,2,3,0,1,100.0%,66.7%,✅ Equal,5,4,1,40_Recombination events.csv|2391,2391,40_Recombination events.csv,6462,9363,"['34', '45']",1000,0.0002,0.005,0.1,5000,50,6463,9363,6463-9363,"['34', '45']","['10', '2', '19', '36', '35', '7', '43', '11', '20', '39', '3', '17', '23']",['14'],1,0,1,100,,,,,✅ Complete (2/2),59,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6462-9363,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,1,0,1,❌ None
16,17,1,100,4,2387,6,Standard_Match,Step 1: Approximate,7,7,7,12,0,5,100.0%,58.3%,✅ Equal,19,14,5,4_Recombination events.csv|2387,2387,4_Recombination events.csv,7593,8067,['32'],1000,0.0002,0.005,0.1,5000,50,7593,8068,7593-8068,['32'],['3'],"['19', '44', '30', '48', '29', '49', '35', '11', '14', '21', '26', '8', '16', '13', '34', '10', '2', '28', '50', '36', '47', '7', '42', '39', '46', '1']",0,1,1,100,474,118.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,7593-8067,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,7,0,6,❌ None
17,18,1,100,37,2456,2,Standard_Match,Step 1: Approximate,5,5,5,10,0,5,100.0%,50.0%,✅ Equal,15,10,5,37_Recombination events.csv|2456,2456,37_Recombination events.csv,1218,9573,['42'],1000,0.0002,0.005,0.1,5000,50,1218,9574,1218-9574,['42'],['36'],"['18', '26', '21', '49', '48', '9']",0,1,1,100,1645,411.2,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,1218-9573,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,7,0,2,❌ None
18,19,1,100,36,2334,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3,36_Recombination events.csv|2334,2334,36_Recombination events.csv,5865,10000,"['11', '12', '13', '44', '5']",1000,0.0002,0.005,0.1,5000,50,5876,9998,5876-9998,"['12', '44', '11', '13', '5']","['2', '33', '8', '7', '40', '9', '24']","['35', '48', '42', '16', '50']",11,2,13,99.7,,,,,✅ Complete (5/5),56.94,100,5/5,100,5,5,5/5,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5865-10000,99.7%,100.0%,0,99.7,,,,,,,,,,60,98.7,0,1,2,0,1,❌ None
19,20,1,100,27,2424,1,Standard_Match,Step 1: Approximate,2,2,2,7,0,5,100.0%,28.6%,✅ Equal,9,4,5,27_Recombination events.csv|2424,2424,27_Recombination events.csv,4194,10000,['21'],1000,0.0002,0.005,0.1,5000,50,4190,9995,4190-9995,['21'],"['39', '40', '9', '48']","['10', '28', '36', '23']",4,5,9,99.91388219083707,4194,1048.5,25,Exact Recombinant Match,,58.98277643816742,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4194-10000,99.9%,100.0%,0,99.91388219083707,,,,,,,,,,100,99.1,0,1,7,0,1,❌ None
20,21,1,100,31,2529,1,Standard_Match,Step 1: Approximate,4,4,5,6,1,2,80.0%,66.7%,✅ Equal,11,8,3,31_Recombination events.csv|2529,2529,31_Recombination events.csv,3261,10000,['33'],1000,0.0002,0.005,0.1,5000,50,3258,10000,3258-10000,['33'],['14'],"['8', '9', '3', '31', '24', '50']",3,0,3,100,3261,815.2,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3261-10000,100.0%,100.0%,0,100,,,,,,,,,,100,99.7,0,1,7,0,1,❌ None
21,22,1,100,3,2460,1,Standard_Match,Step 1: Approximate,1,1,1,6,0,5,100.0%,16.7%,✅ Equal,7,2,5,3_Recombination events.csv|2460,2460,3_Recombination events.csv,4251,8481,"['13', '18', '25', '48']",1000,0.0002,0.005,0.1,5000,50,4250,8482,4250-8482,"['13', '25', '18', '48']","['33', '22', '26']","['6', '2', '21', '37', '41', '17', '45']",1,1,2,100,4230,1057.5,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4251-8481,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,7,0,1,❌ None
22,23,1,100,28,2457,1,Standard_Match,Step 1: Approximate,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3,28_Recombination events.csv|2457,2457,28_Recombination events.csv,5643,10000,['49'],1000,0.0002,0.005,0.1,5000,50,5644,9998,5644-9998,['49'],['27'],['33'],1,2,3,99.93114528345191,4357,1089.2,25,Exact Recombinant Match,,58.986229056690384,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5643-10000,99.9%,100.0%,0,99.93114528345191,,,,,,,,,,100,99.7,0,1,7,0,1,❌ None
23,24,1,100,64,2380,2,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,9,0,7,100.0%,22.2%,✅ Equal,11,4,7,64_Recombination events.csv|2380,2380,64_Recombination events.csv,7845,10000,"['10', '11', '12', '14', '22', '29', '3', '32']",1000,0.0002,0.005,0.1,5000,50,7844,9991,7844-9991,"['10', '29', '12', '22', '11', '14', '32', '3']","['2', '33', '49', '41', '5', '23']","['27', '47', '43', '48', '20', '13', '46', '24', '39']",1,9,10,99.6,,,,,✅ Complete (8/8),58.92,100,8/8,100,8,8,8/8,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,7845-10000,99.6%,100.0%,0,99.6,,,,,,,,,,75,99,0,1,2,0,2,❌ None
24,25,1,100,57,2372,2,🎯 Perfect Match (1/1),Step 2: Best Match,1,1,3,9,2,8,33.3%,11.1%,✅ Equal,12,2,10,57_Recombination events.csv|2372,2372,57_Recombination events.csv,6318,7941,"['11', '12', '13', '2', '24', '26', '29', '32', '36', '48', '8']",1000,0.0002,0.005,0.1,5000,50,6317,7940,6317-7940,"['29', '2', '12', '26', '36', '8', '11', '48', '32', '13', '24']","['10', '28', '18', '27', '35', '49', '50', '40', '37', '43', '9', '39', '1', '3', '31', '5', '17', '23']","['6', '19', '33', '22', '4', '38', '44', '47', '30', '7', '45', '20', '15', '41', '16', '34']",1,1,2,99.9,,,,,✅ Complete (11/11),58.980000000000004,100,11/11,100,11,11,11/11,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,6318-7941,99.9%,100.0%,0,99.9,,,,,,,,,,63.63636363636363,99.8,0,1,1,0,2,❌ None
25,26,1,100,59,2531,1,Standard_Match,Step 1: Approximate,2,2,2,9,0,7,100.0%,22.2%,✅ Equal,11,4,7,59_Recombination events.csv|2531,2531,59_Recombination events.csv,2055,3996,['18'],1000,0.0002,0.005,0.1,5000,50,2053,3996,2053-3996,['18'],['49'],['26'],2,0,2,100,1941,485.2,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2055-3996,100.0%,100.0%,0,100,,,,,,,,,,100,99.8,0,1,7,0,1,❌ None
26,27,1,100,70,2516,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3,70_Recombination events.csv|2516,2516,70_Recombination events.csv,2913,10000,"['18', '25', '30']",1000,0.0002,0.005,0.1,5000,50,2916,9995,2916-9995,"['30', '25', '18']","['20', '13']","['1', '26']",3,5,8,99.9,,,,,✅ Complete (3/3),58.980000000000004,100,3/3,100,3,3,3/3,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2913-10000,99.9%,100.0%,0,99.9,,,,,,,,,,33.33333333333333,99.2,0,1,2,0,1,❌ None
27,28,1,100,7,2580,1,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,2,9,0,7,100.0%,22.2%,✅ Equal,11,4,7,7_Recombination events.csv|2580,2580,7_Recombination events.csv,1128,10000,"['39', '4', '48']",1000,0.0002,0.005,0.1,5000,50,1130,9994,1130-9994,"['39', '48', '4']","['44', '13', '11']","['36', '49', '8', '30', '46']",2,6,8,99.9,,,,,✅ Complete (3/3),58.980000000000004,100,3/3,100,3,3,3/3,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1128-10000,99.9%,100.0%,0,99.9,,,,,,,,,,33.33333333333333,99.2,0,1,2,0,1,❌ None
28,29,1,100,65,2330,1,✅ Complete Match (1/1),Step 2: Best Match,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2,65_Recombination events.csv|2330,2330,65_Recombination events.csv,7884,10000,"['22', '23', '29', '37', '8']",1000,0.0002,0.005,0.1,5000,50,7904,9996,7904-9996,"['29', '22', '8', '37', '23']","['12', '21', '4', '44', '30', '20', '34']","['10', '2', '19', '40', '14']",20,4,24,98.9,,,,,✅ Complete (5/5),56.78,100,5/5,100,5,5,5/5,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7884-10000,98.9%,100.0%,0,98.9,,,,,,,,,,20,97.6,0,1,3,0,1,❌ None
29,30,1,100,66,2495,1,🎯 Perfect Match (1/1),Step 2: Best Match,1,1,1,11,0,10,100.0%,9.1%,✅ Equal,12,2,10,66_Recombination events.csv|2495,2495,66_Recombination events.csv,7995,10000,"['14', '2', '23', '39', '44', '5', '6']",1000,0.0002,0.005,0.1,5000,50,7996,10000,7996-10000,"['2', '6', '44', '14', '39', '5', '23']","['3', '30', '34']",['31'],1,0,1,100,,,,,✅ Complete (7/7),59,100,7/7,100,7,7,7/7,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7995-10000,100.0%,100.0%,0,100,,,,,,,,,,42.857142857142854,99.9,0,1,1,0,1,❌ None
30,31,1,100,55,2156,2,⭐ Excellent Match (1/1),Step 2: Best Match,2,2,3,5,1,3,66.7%,40.0%,✅ Equal,8,4,4,55_Recombination events.csv|2156,2156,55_Recombination events.csv,6180,10000,"['13', '15', '16', '17', '19', '25', '30', '31', '32', '33', '35', '37', '39', '44', '45', '46', '50', '8', '9']",1000,0.0002,0.005,0.1,5000,50,6189,9998,6189-9998,"['35', '50', '37', '15', '9', '16', '31', '17', '46']","['10', '48', '14']","['12', '38', '40', '5', '29', '22', '27', '49', '11', '41', '3', '26', '21', '24', '34', '28', '2', '6', '23', '36', '47', '7', '43', '42', '1']",9,2,11,99.7,,,,,✅ Complete (9/9),58.94,47.4,9/9,100,19,9,9/9,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,6180-10000,99.7%,100.0%,0,99.7,,,,,,,,,,66.66666666666666,98.9,0,1,2,0,2,❌ None
31,32,1,100,54,2506,1,🎯 Perfect Match (1/1),Step 2: Best Match,3,3,3,6,0,3,100.0%,50.0%,✅ Equal,9,6,3,54_Recombination events.csv|2506,2506,54_Recombination events.csv,2640,7428,['27'],1000,0.0002,0.005,0.1,5000,50,2641,7428,2641-7428,['27'],"['2', '12', '44', '7', '37', '40', '43', '14', '32', '16', '13', '46', '1', '17']","['21', '35', '11', '41', '3']",1,0,1,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2640-7428,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,1,0,1,❌ None
32,33,1,100,52,2471,3,Standard_Match,Step 1: Approximate,5,5,5,11,0,6,100.0%,45.5%,✅ Equal,16,10,6,52_Recombination events.csv|2471,2471,52_Recombination events.csv,5865,7587,['8'],1000,0.0002,0.005,0.1,5000,50,5866,7583,5866-7583,['8'],"['20', '14']",['10'],1,4,5,99.70963995354239,1722,430.5,25,Exact Recombinant Match,,58.94192799070848,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,5865-7587,99.7%,100.0%,0,99.70963995354239,,,,,,,,,,100,99.5,0,1,7,0,3,❌ None
33,34,1,100,53,2419,2,🎯 Perfect Match (1/1),Step 2: Best Match,2,2,3,6,1,4,66.7%,33.3%,✅ Equal,9,4,5,53_Recombination events.csv|2419,2419,53_Recombination events.csv,3966,10000,"['1', '18', '3', '36', '7']",1000,0.0002,0.005,0.1,5000,50,3968,9999,3968-9999,"['18', '36', '7', '3', '1']","['33', '44', '30', '40', '48', '14', '16', '13', '5', '24', '45']","['10', '29', '12', '49', '8', '9', '31', '50']",2,1,3,100,,,,,✅ Complete (5/5),59,100,5/5,100,5,5,5/5,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,3966-10000,100.0%,100.0%,0,100,,,,,,,,,,40,99.7,0,1,1,0,2,❌ None
34,35,2,100,54,2510,2,🎯 Perfect Match (1/1),Step 2: Best Match,3,3,3,6,0,3,100.0%,50.0%,✅ Equal,9,6,3,54_Recombination events.csv|2510,2510,54_Recombination events.csv,1908,9129,['43'],1000,0.0002,0.005,0.1,5000,50,1909,9129,1909-9129,['43'],['5'],['16'],1,0,1,100,,,,,🎯 Perfect (1/1),59,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,1908-9129,100.0%,100.0%,0,100,,,,,,,,,,100,99.9,0,1,1,0,2,❌ None
35,36,1,100,51,2489,1,Standard_Match,Step 1: Approximate,2,2,2,11,0,9,100.0%,18.2%,✅ Equal,13,4,9,51_Recombination events.csv|2489,2489,51_Recombination events.csv,3747,9954,['29'],1000,0.0002,0.005,0.1,5000,50,3751,9954,3751-9954,['29'],"['10', '2', '33', '7', '5']","['4', '49', '35', '43', '24', '17']",4,0,4,99.93555662961174,3793,948.2,25,Exact Recombinant Match,,58.98711132592235,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3747-9954,99.9%,100.0%,0,99.93555662961174,,,,,,,,,,100,99.6,0,1,7,0,1,❌ None
