,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Reaches_Start,Reaches_End,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
10,10,11,1,100,7,9864,1,⭐ Excellent Match (1/1),Step 2: Best Match,1,1,1,18,0,17,100.0%,5.6%,✅ Equal,19,2,17,7_Recombination events.csv|9864,9864,7_Recombination events.csv,4911,7299,['4'],1000,0.000025,0.02,0.1,5000,50,4910,7284,4910-7284,['4'],['19'],"['30', '27', '5', '25']",1,15,16,99.4,,,,,🎯 Perfect (1/1),56.88,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,4911-7299,99.4%,100.0%,0,99.4,,,,,,,,,,100,98.4,0,1,2,0,1,❌ None
11,11,12,2,100,6,9959,3,Standard_Match,Step 1: Approximate,9,9,9,39,0,30,100.0%,23.1%,✅ Equal,48,18,30,6_Recombination events.csv|9959,9959,6_Recombination events.csv,4728,8847,"['16', '49']",1000,0.000025,0.02,0.1,5000,50,4734,8834,4734-8834,"['16', '49']","['32', '45', '8']",['26'],6,13,19,99.53872299101724,4119,1029.8,25,Exact Recombinant Match,,56.90774459820345,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,4728-8847,99.5%,100.0%,0,99.53872299101724,,,,,,,,,,100,98.1,0,1,7,0,3,❌ None
12,12,13,1,100,15,9983,2,✅ Complete Match (1/1),Step 2: Best Match,5,5,5,25,0,20,100.0%,20.0%,✅ Equal,30,10,20,15_Recombination events.csv|9983,9983,15_Recombination events.csv,6336,7899,['32'],1000,0.000025,0.02,0.1,5000,50,6349,7902,6349-7902,['32'],"['16', '2']","['38', '40', '25']",13,3,16,99.2,,,,,🎯 Perfect (1/1),56.84,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,6336-7899,99.2%,100.0%,0,99.2,,,,,,,,,,100,98.4,0,1,3,0,2,❌ None
13,13,14,1,100,13,9845,12,Standard_Match,Step 1: Approximate,12,12,16,62,4,50,75.0%,19.4%,✅ Equal,78,24,54,13_Recombination events.csv|9845,9845,13_Recombination events.csv,9690,10000,"['1', '26']",1000,0.000025,0.02,0.1,5000,50,9691,9994,9691-9994,"['1', '26']","['49', '6', '27', '43', '14']","['12', '24', '3']",1,6,7,97.74193548387096,310,77.5,25,Exact Recombinant Match,,58.54838709677419,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,12,9690-10000,97.7%,100.0%,0,97.74193548387096,,,,,,,,,,100,99.3,0,1,7,0,12,❌ None
14,14,15,2,99.94934143870312,24,9794,3,Standard_Match,Step 1: Approximate,7,7,9,60,2,53,77.8%,11.7%,✅ Equal,69,14,55,24_Recombination events.csv|9794,9794,24_Recombination events.csv,2718,6405,['21'],1000,0.000025,0.02,0.1,5000,50,2710,6411,2710-6411,['21'],['30'],['25'],8,6,14,100,3687,921.8,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2718-6405,100.0%,100.0%,0,100,,,,,,,,,,100,98.6,0,1,7,0,3,❌ None
15,15,16,2,99.8993963782696,12,9945,3,Standard_Match,Step 1: Approximate,6,6,6,37,0,31,100.0%,16.2%,✅ Equal,43,12,31,12_Recombination events.csv|9945,9945,12_Recombination events.csv,1716,10000,['35'],1000,0.000025,0.02,0.1,5000,50,1720,9996,1720-9996,['35'],"['39', '7', '2']","['44', '49']",4,4,8,99.9034282955094,1716,429,25,Exact Recombinant Match,,58.98068565910188,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,1716-10000,99.9%,100.0%,0,99.9034282955094,,,,,,,,,,100,99.2,0,1,7,0,3,❌ None
16,16,17,2,99.8989898989899,16,9937,1,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,5,42,1,38,80.0%,9.5%,✅ Equal,47,8,39,16_Recombination events.csv|9937,9937,16_Recombination events.csv,8052,10000,['45'],1000,0.000025,0.02,0.1,5000,50,8046,9994,8046-9994,['45'],['30'],"['34', '24', '9', '43', '14']",6,6,12,99.7,,,,,🎯 Perfect (1/1),58.94,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,8052-10000,99.7%,100.0%,0,99.7,,,,,,,,,,100,98.8,0,1,2,0,1,❌ None
17,17,18,1,99.8987854251012,5,10106,3,Standard_Match,Step 1: Approximate,6,6,6,46,0,40,100.0%,13.0%,✅ Equal,52,12,40,5_Recombination events.csv|10106,10106,5_Recombination events.csv,543,10000,['29'],1000,0.000025,0.02,0.1,5000,50,538,9991,538-9991,['29'],['46'],['35'],5,9,14,99.90483239928096,543,135.8,25,Exact Recombinant Match,,58.98096647985619,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,543-10000,99.9%,100.0%,0,99.90483239928096,,,,,,,,,,100,98.6,0,1,7,0,3,❌ None
18,18,19,2,99.89270386266094,10,9955,5,Standard_Match,Step 1: Approximate,4,4,9,36,5,32,44.4%,11.1%,✅ Equal,45,8,37,10_Recombination events.csv|9955,9955,10_Recombination events.csv,696,1863,['44'],1000,0.000025,0.02,0.1,5000,50,665,1902,665-1902,['44'],"['35', '46']","['11', '6', '33', '41', '13']",31,39,70,100,1167,291.8,25,Exact Recombinant Match,,57,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,696-1863,100.0%,100.0%,0,100,,,,,,,,,,100,93,0,1,7,0,5,❌ None
19,19,20,2,99.84802431610942,19,9856,3,Standard_Match,Step 1: Approximate,7,7,7,39,0,32,100.0%,17.9%,✅ Equal,46,14,32,19_Recombination events.csv|9856,9856,19_Recombination events.csv,6168,9900,['21'],1000,0.000025,0.02,0.1,5000,50,6170,9914,6170-9914,['21'],"['12', '34', '8', '49', '15', '28', '3', '40', '35', '46', '47']",['45'],2,14,16,99.94640943193995,3732,933,25,Exact Recombinant Match,,56.989281886388,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,6168-9900,99.9%,100.0%,0,99.94640943193995,,,,,,,,,,100,98.4,0,1,7,0,3,❌ None
20,20,21,3,99.796126401631,6,9942,5,⭐ Excellent Match (1/1),Step 2: Best Match,9,9,9,39,0,30,100.0%,23.1%,✅ Equal,48,18,30,6_Recombination events.csv|9942,9942,6_Recombination events.csv,7521,10000,['30'],1000,0.000025,0.02,0.1,5000,50,7526,9982,7526-9982,['30'],['26'],['24'],5,18,23,99.1,,,,,🎯 Perfect (1/1),56.82,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,7521-10000,99.1%,100.0%,0,99.1,,,,,,,,,,100,97.7,0,1,2,0,5,❌ None
21,21,22,3,99.74823766364553,13,10047,2,Standard_Match,Step 1: Approximate,12,12,16,62,4,50,75.0%,19.4%,✅ Equal,78,24,54,13_Recombination events.csv|10047,10047,13_Recombination events.csv,9087,10000,['37'],1000,0.000025,0.02,0.1,5000,50,9085,9990,9085-9990,['37'],['50'],['31'],2,10,12,98.90470974808323,913,228.2,25,Exact Recombinant Match,,58.78094194961665,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,9087-10000,98.9%,100.0%,0,98.90470974808323,,,,,,,,,,100,98.8,0,1,7,0,2,❌ None
22,22,23,2,99.74823766364553,13,10031,3,⭐ Excellent Match (1/1),Step 2: Best Match,12,12,16,62,4,50,75.0%,19.4%,✅ Equal,78,24,54,13_Recombination events.csv|10031,10031,13_Recombination events.csv,1917,10000,['6'],1000,0.000025,0.02,0.1,5000,50,1915,9990,1915-9990,['6'],"['42', '22', '11']","['27', '43', '49']",2,10,12,99.9,,,,,🎯 Perfect (1/1),58.98,100,1/1,100,1,1,1/1,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,1917-10000,99.9%,100.0%,0,99.9,,,,,,,,,,100,98.8,0,1,2,0,3,❌ None
23,23,24,1,99.7467071935157,4,9801,2,Standard_Match,Step 1: Approximate,5,5,7,55,2,50,71.4%,9.1%,✅ Equal,62,10,52,4_Recombination events.csv|9801,9801,4_Recombination events.csv,8586,10000,"['28', '50']",1000,0.000025,0.02,0.1,5000,50,8588,9984,8588-9984,"['28', '50']","['8', '38', '42', '15', '25', '21', '29', '3', '37', '17', '4', '48']",['20'],2,16,18,98.72701555869872,1414,353.5,25,Exact Recombinant Match,,56.74540311173975,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,8586-10000,98.7%,100.0%,0,98.72701555869872,,,,,,,,,,100,98.2,0,1,7,0,2,❌ None
24,24,25,1,99.69635627530366,2,9806,7,Standard_Match,Step 1: Approximate,8,7,11,42,3,35,72.7%,16.7%,❌ Diff: RDP=8 vs Santa=7,53,15,38,2_Recombination events.csv|9806,9806,2_Recombination events.csv,843,1314,['26'],1000,0.000025,0.02,0.1,5000,50,848,1327,848-1327,['26'],['4'],"['36', '42', '25', '19', '46']",5,13,18,98.9384288747346,471,117.8,25,Exact Recombinant Match,,56.78768577494692,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,7,843-1314,98.9%,100.0%,0,98.9384288747346,,,,,,,,,,100,98.2,0,1,7,0,7,❌ None
25,25,26,2,99.64717741935485,1,10191,1,Standard_Match,Step 1: Approximate,7,7,8,69,1,62,87.5%,10.1%,✅ Equal,77,14,63,1_Recombination events.csv|10191,10191,1_Recombination events.csv,3777,4509,['50'],1000,0.000025,0.02,0.1,5000,50,3771,4518,3771-4518,['50'],['32'],['3'],6,9,15,100,732,183,25,Exact Recombinant Match,,59,,,,,,,90,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3777-4509,100.0%,100.0%,0,100,,,,,,,,,,100,98.5,0,1,7,0,1,❌ None
26,26,27,1,99.64139344262296,23,9789,1,Standard_Match,Step 1: Approximate,4,4,5,35,1,31,80.0%,11.4%,✅ Equal,40,8,32,23_Recombination events.csv|9789,9789,23_Recombination events.csv,1686,5049,['25'],1000,0.000025,0.02,0.1,5000,50,1678,5072,1678-5072,['25'],"['38', '31', '10']","['45', '19', '23', '42']",8,23,31,100,3363,840.8,25,Exact Recombinant Match,,57,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,1686-5049,100.0%,100.0%,0,100,,,,,,,,,,100,96.9,0,1,7,0,1,❌ None
27,27,28,4,99.59718026183285,13,10077,1,Standard_Match,Step 1: Approximate,12,12,16,62,4,50,75.0%,19.4%,✅ Equal,78,24,54,13_Recombination events.csv|10077,10077,13_Recombination events.csv,7488,9102,['13'],1000,0.000025,0.02,0.1,5000,50,7475,9104,7475-9104,['13'],['20'],"['30', '40', '32', '23']",13,2,15,100,1614,403.5,25,Exact Recombinant Match,,57,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,7488-9102,100.0%,100.0%,0,100,,,,,,,,,,100,98.5,0,1,7,0,1,❌ None
28,28,29,2,99.49392712550608,5,10135,2,Standard_Match,Step 1: Approximate,6,6,6,46,0,40,100.0%,13.0%,✅ Equal,52,12,40,5_Recombination events.csv|10135,10135,5_Recombination events.csv,2601,10000,['44'],1000,0.000025,0.02,0.1,5000,50,2600,9979,2600-9979,['44'],['11'],"['32', '24', '31', '15', '43', '13']",1,21,22,99.71617786187322,2601,650.2,25,Exact Recombinant Match,,56.94323557237465,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,2601-10000,99.7%,100.0%,0,99.71617786187322,,,,,,,,,,100,97.8,0,1,7,0,2,❌ None
29,29,30,3,99.24547283702212,12,9943,5,Standard_Match,Step 1: Approximate,6,6,6,37,0,31,100.0%,16.2%,✅ Equal,43,12,31,12_Recombination events.csv|9943,9943,12_Recombination events.csv,3459,5325,['11'],1000,0.000025,0.02,0.1,5000,50,3446,5333,3446-5333,['11'],['20'],"['18', '42']",13,8,21,100,1866,466.5,25,Exact Recombinant Match,,57,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,3459-5325,100.0%,100.0%,0,100,,,,,,,,,,100,97.9,0,1,7,0,5,❌ None
30,30,31,3,99.24012158054713,19,9913,2,⭐ Excellent Match (1/1),Step 2: Best Match,7,7,7,39,0,32,100.0%,17.9%,✅ Equal,46,14,32,19_Recombination events.csv|9913,9913,19_Recombination events.csv,3249,10000,['18'],1000,0.000025,0.02,0.1,5000,50,3242,9979,3242-9979,['18'],['35'],"['44', '48']",7,21,28,99.7,,,,,🎯 Perfect (1/1),56.94,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,3249-10000,99.7%,100.0%,0,99.7,,,,,,,,,,100,97.2,0,1,2,0,2,❌ None
31,31,32,1,99.04809619238478,3,9825,10,Standard_Match,Step 1: Approximate,9,9,11,37,2,28,81.8%,24.3%,✅ Equal,48,18,30,3_Recombination events.csv|9825,9825,3_Recombination events.csv,7695,8427,['6'],1000,0.000025,0.02,0.1,5000,50,7708,8435,7708-8435,['6'],"['28', '14', '49']","['12', '45', '34', '11', '15', '29', '21', '18', '46', '5']",13,8,21,98.224043715847,732,183,25,Exact Recombinant Match,,56.644808743169406,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,10,7695-8427,98.2%,100.0%,0,98.224043715847,,,,,,,,,,100,97.9,0,1,7,0,1,❌ None
32,32,33,5,98.94259818731118,13,9892,6,Standard_Match,Step 1: Approximate,12,12,16,62,4,50,75.0%,19.4%,✅ Equal,78,24,54,13_Recombination events.csv|9892,9892,13_Recombination events.csv,2589,4140,['14'],1000,0.000025,0.02,0.1,5000,50,2610,4147,2610-4147,['14'],"['45', '9', '20']","['6', '27', '43', '49']",21,7,28,98.64603481624758,1551,387.8,25,Exact Recombinant Match,,56.72920696324952,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,2589-4140,98.6%,100.0%,0,98.64603481624758,,,,,,,,,,100,97.2,0,1,7,0,6,❌ None
33,33,34,1,98.73864783047426,17,10112,1,Standard_Match,Step 1: Approximate,7,6,7,29,0,23,100.0%,20.7%,❌ Diff: RDP=7 vs Santa=6,36,13,23,17_Recombination events.csv|10112,10112,17_Recombination events.csv,6381,10000,['19'],1000,0.000025,0.02,0.1,5000,50,6368,9979,6368-9979,['19'],"['12', '43', '14']","['24', '44', '50', '33', '10']",13,21,34,99.41972920696324,3619,904.8,25,Exact Recombinant Match,,56.88394584139265,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,6381-10000,99.4%,100.0%,0,99.41972920696324,,,,,,,,,,100,96.6,0,1,7,0,1,❌ None
34,34,35,3,98.68287740628163,24,9783,2,Standard_Match,Step 1: Approximate,7,7,9,60,2,53,77.8%,11.7%,✅ Equal,69,14,55,24_Recombination events.csv|9783,9783,24_Recombination events.csv,228,3945,['7'],1000,0.000025,0.02,0.1,5000,50,256,3956,256-3956,['7'],"['18', '45', '41', '12']","['6', '37', '4', '11']",28,11,39,99.2467043314501,3717,929.2,25,Exact Recombinant Match,,56.84934086629002,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,228-3945,99.2%,100.0%,0,99.2467043314501,,,,,,,,,,100,96.1,0,1,7,0,2,❌ None
35,35,36,2,98.67886178861788,15,9964,1,✅ Complete Match (1/1),Step 2: Best Match,5,5,5,25,0,20,100.0%,20.0%,✅ Equal,30,10,20,15_Recombination events.csv|9964,9964,15_Recombination events.csv,2310,10000,['12'],1000,0.000025,0.02,0.1,5000,50,2286,9982,2286-9982,['12'],"['31', '46']","['16', '2']",24,18,42,99.8,,,,,🎯 Perfect (1/1),56.96,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2310-10000,99.8%,100.0%,0,99.8,,,,,,,,,,100,95.8,0,1,3,0,1,❌ None
36,36,37,1,98.64593781344033,8,10119,10,✅ Complete Match (1/1),Step 2: Best Match,8,8,13,58,5,50,61.5%,13.8%,✅ Equal,71,16,55,8_Recombination events.csv|10119,10119,8_Recombination events.csv,5958,6828,['39'],1000,0.000025,0.02,0.1,5000,50,5978,6818,5978-6818,['39'],['27'],['40'],20,10,30,96.6,,,,,🎯 Perfect (1/1),56.32,100,1/1,100,1,1,1/1,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,10,5958-6828,96.6%,100.0%,0,96.6,,,,,,,,,,100,97,0,1,3,0,1,❌ None
37,37,38,2,98.63773965691222,17,9950,2,Standard_Match,Step 1: Approximate,7,6,7,29,0,23,100.0%,20.7%,❌ Diff: RDP=7 vs Santa=6,36,13,23,17_Recombination events.csv|9950,9950,17_Recombination events.csv,7752,10000,['23'],1000,0.000025,0.02,0.1,5000,50,7738,9978,7738-9978,['23'],"['32', '11', '38', '47', '41']","['39', '36']",14,22,36,99.02135231316726,2248,562,25,Exact Recombinant Match,,56.804270462633454,,,,,,,70,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,7752-10000,99.0%,100.0%,0,99.02135231316726,,,,,,,,,,100,96.4,0,1,7,0,2,❌ None
