SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
10_Recombination events.csv|2371,2371,10_Recombination events.csv,6780,10000,"['18', '34']",1000,2.5e-05,0.005,0.1,5000,50,1,6778,9999,6778-9999,"['18', '34']",['38'],"['1', '29', '14', '17']",2.0,1.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,99.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2371,100.0,99.7,1,100.0,1,1,1,1,1,8,0,7,100.0%,12.5%,✅ Equal,9,2,7
51_Recombination events.csv|2571,2571,51_Recombination events.csv,6183,6669,['2'],1000,2.5e-05,0.005,0.1,5000,50,2,6174,6679,6174-6679,['2'],['9'],['19'],9.0,10.0,19.0,100.0,486.0,121.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2571,100.0,98.1,2,100.0,1,12,3,3,4,8,1,5,75.0%,37.5%,✅ Equal,12,6,6
5_Recombination events.csv|2513,2513,5_Recombination events.csv,3693,7239,"['13', '43']",1000,2.5e-05,0.005,0.1,5000,50,1,3697,7240,3697-7240,"['13', '43']",['48'],['27'],4.0,1.0,5.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),58.980000000000004,100.0,2/2,100.0,2.0,2.0,2/2,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2513,100.0,99.5,1,100.0,1,13,4,4,4,10,0,6,100.0%,40.0%,✅ Equal,14,8,6
48_Recombination events.csv|2461,2461,48_Recombination events.csv,2181,5619,['15'],1000,2.5e-05,0.005,0.1,5000,50,1,2174,5674,2174-5674,['15'],"['1', '31', '4', '2', '45']",['6'],7.0,55.0,62.0,100.0,3438.0,859.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2461,100.0,93.8,1,100.0,1,14,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
42_Recombination events.csv|2493,2493,42_Recombination events.csv,2355,10000,['26'],1000,2.5e-05,0.005,0.1,5000,50,1,2352,9977,2352-9977,['26'],"['37', '20', '25']","['33', '36']",3.0,23.0,26.0,99.7,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),56.94,100.0,1/1,100.0,1.0,1.0,1/1,94.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2493,100.0,97.4,1,100.0,1,15,2,2,2,11,0,9,100.0%,18.2%,✅ Equal,13,4,9
4_Recombination events.csv|2476,2476,4_Recombination events.csv,1260,5280,"['22', '48']",1000,2.5e-05,0.005,0.1,5000,50,1,1270,5287,1270-5287,"['22', '48']",['46'],"['1', '31', '35', '18', '4', '23', '34', '47', '41']",10.0,7.0,17.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),58.96,100.0,2/2,100.0,2.0,2.0,2/2,97.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2476,100.0,98.3,1,100.0,1,16,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
38_Recombination events.csv|2400,2400,38_Recombination events.csv,339,3246,"['18', '29', '37', '39', '40']",1000,2.5e-05,0.005,0.1,5000,50,1,324,3248,324-3248,"['40', '37', '29', '18', '39']","['15', '19']","['30', '35', '4', '13']",15.0,2.0,17.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (5/5),57.0,100.0,5/5,100.0,5.0,5.0,5/5,97.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2400,40.0,98.3,1,100.0,1,17,2,2,2,3,0,1,100.0%,66.7%,✅ Equal,5,4,1
36_Recombination events.csv|2452,2452,36_Recombination events.csv,4995,10000,['47'],1000,2.5e-05,0.005,0.1,5000,50,1,4998,9990,4998-9990,['47'],['10'],"['22', '32']",3.0,10.0,13.0,99.74025974025975,4995.0,1248.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.948051948051955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2452,100.0,98.7,1,100.0,1,18,5,4,5,7,0,3,100.0%,57.1%,❌ Diff: RDP=5 vs Santa=4,12,9,3
66_Recombination events.csv|2427,2427,66_Recombination events.csv,2934,9471,['33'],1000,2.5e-05,0.005,0.1,5000,50,1,2930,9472,2930-9472,['33'],"['32', '46', '3', '23', '8', '19']",['21'],4.0,1.0,5.0,100.0,3463.0,865.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2427,100.0,99.5,1,100.0,1,19,2,2,2,6,0,4,100.0%,33.3%,✅ Equal,8,4,4
70_Recombination events.csv|2344,2344,70_Recombination events.csv,2100,4440,['7'],1000,2.5e-05,0.005,0.1,5000,50,1,2099,4408,2099-4408,['7'],"['40', '4', '16', '11', '48', '13', '19']",['39'],1.0,32.0,33.0,98.63247863247864,2340.0,585.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.72649572649573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2344,100.0,96.7,1,100.0,1,20,2,2,2,3,0,1,100.0%,66.7%,✅ Equal,5,4,1
72_Recombination events.csv|2272,2272,72_Recombination events.csv,7413,10000,"['32', '44', '48']",1000,2.5e-05,0.005,0.1,5000,50,1,7418,9996,7418-9996,"['48', '44', '32']",['34'],['49'],5.0,4.0,9.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (3/3),58.94,100.0,3/3,100.0,3.0,3.0,3/3,98.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,2272,33.33333333333333,99.1,1,100.0,1,21,1,1,1,4,0,3,100.0%,25.0%,✅ Equal,5,2,3
73_Recombination events.csv|2479,2479,73_Recombination events.csv,528,6879,['29'],1000,2.5e-05,0.005,0.1,5000,50,1,568,6876,568-6876,['29'],['2'],"['24', '31', '27', '43', '7', '16', '22']",40.0,3.0,43.0,99.32294126909149,3649.0,912.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.8645882538183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2479,100.0,95.7,1,100.0,1,22,1,1,1,5,0,4,100.0%,20.0%,✅ Equal,6,2,4
97_Recombination events.csv|2483,2483,97_Recombination events.csv,8106,10000,['19'],1000,2.5e-05,0.005,0.1,5000,50,1,8100,9983,8100-9983,['19'],['21'],"['16', '48', '47', '24']",6.0,17.0,23.0,99.10242872228089,1894.0,473.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.82048574445618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,2483,100.0,97.7,1,100.0,1,23,1,1,1,12,0,11,100.0%,8.3%,✅ Equal,13,2,11
96_Recombination events.csv|2454,2454,96_Recombination events.csv,2706,8733,['22'],1000,2.5e-05,0.005,0.1,5000,50,1,2694,8744,2694-8744,['22'],"['18', '38', '27', '47', '2', '5', '13']","['28', '25', '32', '43', '34', '36', '17', '19']",12.0,11.0,23.0,100.0,3973.0,993.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,2454,100.0,97.7,1,100.0,1,24,3,3,3,7,0,4,100.0%,42.9%,✅ Equal,10,6,4
92_Recombination events.csv|2368,2368,92_Recombination events.csv,2850,7413,"['11', '15', '17', '29', '31', '34', '4', '41', '45']",1000,2.5e-05,0.005,0.1,5000,50,1,2814,7408,2814-7408,"['29', '31', '4', '34', '11', '17', '45', '15', '41']","['10', '18', '13', '14']","['1', '44', '25', '28', '46', '3', '38', '43', '47', '7', '36', '9', '33', '30', '20']",36.0,5.0,41.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (9/9),56.980000000000004,100.0,9/9,100.0,9.0,9.0,9/9,95.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,2368,55.55555555555556,95.9,1,100.0,1,25,2,2,2,7,0,5,100.0%,28.6%,✅ Equal,9,4,5
9_Recombination events.csv|2401,2401,9_Recombination events.csv,1533,10000,"['28', '43', '9']",1000,2.5e-05,0.005,0.1,5000,50,1,1459,9970,1459-9970,"['9', '43', '28']","['24', '25', '4', '6', '18', '27', '47', '16', '5', '26', '22', '33', '10', '30', '39']","['3', '23', '36', '11', '50', '14', '41']",74.0,30.0,104.0,99.6,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (3/3),56.92,100.0,3/3,100.0,3.0,3.0,3/3,66.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2401,33.33333333333333,89.6,1,100.0,1,26,1,1,1,6,0,5,100.0%,16.7%,✅ Equal,7,2,5
89_Recombination events.csv|2498,2498,89_Recombination events.csv,5958,10000,"['16', '23', '26']",1000,2.5e-05,0.005,0.1,5000,50,1,5956,9990,5956-9990,"['16', '23', '26']","['5', '48', '34']","['7', '29', '39']",2.0,10.0,12.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (3/3),58.96,100.0,3/3,100.0,3.0,3.0,3/3,98.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,2498,100.0,98.8,1,100.0,1,27,7,7,8,12,1,5,87.5%,58.3%,✅ Equal,20,14,6
85_Recombination events.csv|2487,2487,85_Recombination events.csv,2121,9678,"['34', '47']",1000,2.5e-05,0.005,0.1,5000,50,1,2122,9686,2122-9686,"['34', '47']","['29', '46', '6', '27', '7', '48', '26', '30']","['40', '36', '15', '2']",1.0,8.0,9.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,98.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,2487,100.0,99.1,1,100.0,1,28,1,1,1,2,0,1,100.0%,50.0%,✅ Equal,3,2,1
84_Recombination events.csv|2487,2487,84_Recombination events.csv,2721,10000,['21'],1000,2.5e-05,0.005,0.1,5000,50,1,2722,9996,2722-9996,['21'],"['40', '18', '3', '49', '23', '5']",['42'],1.0,4.0,5.0,99.93130924577552,2721.0,680.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.986261849155106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,2487,100.0,99.5,1,100.0,1,29,1,1,1,9,0,8,100.0%,11.1%,✅ Equal,10,2,8
82_Recombination events.csv|2515,2515,82_Recombination events.csv,9054,10000,"['11', '42', '50', '7']",1000,2.5e-05,0.005,0.1,5000,50,2,9054,9992,9054-9992,"['11', '50', '42', '7']",['48'],"['29', '31']",0.0,8.0,8.0,99.2,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (4/4),58.84,100.0,4/4,100.0,4.0,4.0,4/4,95.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,2515,100.0,99.2,2,100.0,1,30,2,2,2,9,0,7,100.0%,22.2%,✅ Equal,11,4,7
81_Recombination events.csv|2331,2331,81_Recombination events.csv,4137,8109,"['12', '50']",1000,2.5e-05,0.005,0.1,5000,50,1,4131,8098,4131-8098,"['12', '50']","['25', '6', '2', '5', '42', '13']","['18', '21']",6.0,11.0,17.0,99.72306143001008,3972.0,993.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.94461228600201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2331,100.0,98.3,1,100.0,1,31,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2
80_Recombination events.csv|2444,2444,80_Recombination events.csv,3303,9357,['50'],1000,2.5e-05,0.005,0.1,5000,50,1,3318,9372,3318-9372,['50'],"['35', '18', '38', '23', '34', '36', '26', '30']","['21', '2', '16', '48', '33', '14']",15.0,15.0,30.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),56.96,100.0,1/1,100.0,1.0,1.0,1/1,96.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,2444,100.0,97.0,1,100.0,1,32,3,3,3,8,0,5,100.0%,37.5%,✅ Equal,11,6,5
79_Recombination events.csv|2519,2519,79_Recombination events.csv,2715,2910,['19'],1000,2.5e-05,0.005,0.1,5000,50,3,2731,2910,2731-2910,['19'],['50'],"['46', '6', '11', '48', '12', '13']",16.0,0.0,16.0,91.8,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),55.36,100.0,1/1,100.0,1.0,1.0,1/1,59.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,2519,100.0,98.4,3,100.0,1,33,2,2,3,5,1,3,66.7%,40.0%,✅ Equal,8,4,4
78_Recombination events.csv|2509,2509,78_Recombination events.csv,4719,8121,['41'],1000,2.5e-05,0.005,0.1,5000,50,4,4720,8117,4720-8117,['41'],['9'],"['40', '43', '5', '45', '26', '33', '10', '15', '20']",1.0,4.0,5.0,99.9,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,2509,100.0,99.5,4,100.0,1,34,5,4,6,15,1,11,83.3%,26.7%,❌ Diff: RDP=5 vs Santa=4,21,9,12
77_Recombination events.csv|2326,2326,77_Recombination events.csv,381,10000,"['12', '29', '34', '49', '50']",1000,2.5e-05,0.005,0.1,5000,50,1,445,9990,445-9990,"['29', '49', '34', '50', '12']","['40', '31', '24', '28', '18', '32', '35', '16', '11', '48', '17', '42', '45', '13', '14']","['1', '44', '27', '2', '9', '8', '33', '15', '19', '39']",64.0,10.0,74.0,99.2,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (5/5),56.84,100.0,5/5,100.0,5.0,5.0,5/5,2.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,2326,40.0,92.6,1,100.0,1,35,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2
76_Recombination events.csv|2470,2470,76_Recombination events.csv,708,10000,"['18', '27', '38', '44', '48']",1000,2.5e-05,0.005,0.1,5000,50,1,714,9768,714-9768,"['44', '18', '38', '27', '48']","['31', '4', '49', '8', '10']","['19', '24']",6.0,232.0,238.0,97.43865690916917,708.0,177.0,25.0,Step 1: Approximate,Case_F_Start_Start,Exact Recombinant Match,,42.48773138183384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,2470,60.0,76.2,1,100.0,1,36,1,1,1,12,0,11,100.0%,8.3%,✅ Equal,13,2,11
75_Recombination events.csv|2433,2433,75_Recombination events.csv,873,5043,"['23', '32']",1000,2.5e-05,0.005,0.1,5000,50,1,886,5047,886-5047,"['23', '32']","['3', '17', '2']","['28', '31', '46', '47', '7', '16', '11', '42', '22', '33', '39']",13.0,4.0,17.0,99.7,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,✅ Complete (2/2),56.94,100.0,2/2,100.0,2.0,2.0,2/2,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,2433,100.0,98.3,1,100.0,1,37,2,2,2,5,0,3,100.0%,40.0%,✅ Equal,7,4,3
33_Recombination events.csv|2466,2466,33_Recombination events.csv,3765,9333,['25'],1000,2.5e-05,0.005,0.1,5000,50,1,3778,9332,3778-9332,['25'],['4'],"['40', '35', '26', '8', '30']",13.0,1.0,14.0,99.74856321839081,4432.0,1108.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,56.94971264367817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2466,100.0,98.6,1,100.0,1,38,3,3,3,10,0,7,100.0%,30.0%,✅ Equal,13,6,7
99_Recombination events.csv|2538,2538,99_Recombination events.csv,1785,10000,['45'],1000,2.5e-05,0.005,0.1,5000,50,1,1778,9990,1778-9990,['45'],['18'],"['40', '32', '4', '43', '15']",7.0,10.0,17.0,99.9,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.980000000000004,100.0,1/1,100.0,1.0,1.0,1/1,95.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2538,100.0,98.3,1,100.0,1,39,1,1,1,3,0,2,100.0%,33.3%,✅ Equal,4,2,2
